autor,publicaciones,total_citaciones,cit_promedio,max_citaciones,h_index,g_index
Frederick R. Adler,1,240,240.0,240,1,1
Myriam González,3,240,80.0,217,2,3
Marcos Moreno,8,240,30.0,98,5,8
Ana I. Álvarez‐Mercado,4,239,59.75,126,4,4
Ana Serrano-Lotina,2,239,119.5,235,2,2
Darío Páez,11,239,21.73,141,7,11
Cristian Cechinel,10,239,23.9,63,7,10
Mathieu Decuyper,5,239,47.8,99,4,5
Jesús Chacón,13,238,18.31,61,7,13
Jorge E. Mendoza,13,238,18.31,128,6,13
Yoelsy Leyva,13,238,18.31,54,9,13
Martina Valencia,18,238,13.22,118,8,15
Manuel Alcalde‐Rico,21,237,11.29,74,8,15
Tanya Román,18,237,13.17,128,5,15
Pablo Aguirre,3,237,79.0,127,3,3
Masato Onodera,8,236,29.5,67,7,8
Carola Martínez,20,236,11.8,36,10,15
S. Suárez,5,236,47.2,144,5,5
Víctor Alcolea-Rodriguez,1,235,235.0,235,1,1
Raquel Portela,1,235,235.0,235,1,1
Gonzalo R. Quezada,22,235,10.68,54,9,15
Susan Lurie,6,235,39.17,89,5,6
Peter Schneider,4,235,47.0,142,5,5
Patrick Fickers,12,235,19.58,64,7,12
Carlos R. Figueroa,9,235,26.11,96,8,9
D. Gruen,13,235,18.08,43,10,13
Juan S. Gómez-Jeria,7,234,33.43,76,6,7
Benjamin Joachimi,3,234,58.5,142,4,4
José Castro‐Piñero,16,234,14.62,36,10,15
José Antonio Olaeta,15,233,15.53,37,11,15
Rodrigo Alfaro,16,233,14.56,107,7,15
Jorge Valenzuela,17,233,13.71,47,9,15
Felipe Vásquez‐Ponce,10,233,23.3,107,6,10
Wolfgang W. Schmahl,6,233,38.83,71,5,6
H. Hildebrandt,4,232,46.4,142,5,5
Cristina Jenaro Río,20,232,11.6,55,8,15
J.F.M. Molenbroek,13,232,17.85,70,8,13
K. Honscheid,14,232,16.57,43,10,14
María Verónica Leiva Guerrero,26,231,8.88,80,7,15
Gastón O. Carvallo,25,231,9.24,28,10,14
María Schiappacasse-Dasati,1,231,231.0,231,1,1
Jaime Mella,10,231,23.1,60,7,10
Patricia Flores‐Rodríguez,9,231,25.67,73,8,9
Rodrigo Salas,10,231,23.1,123,7,10
Benjamin P. Horton,6,231,38.5,107,5,6
Idania Valdez-Vázquez,1,231,231.0,231,1,1
Matías Olea,10,231,23.1,66,7,10
Sandra Imaculada Maintinguer,1,231,231.0,231,1,1
Frederico Diniz Lima,3,231,77.0,187,3,3
Felipe Cisternas-Caneo,33,231,7.0,30,9,14
Cristiane Lurdes Andreani,1,231,231.0,231,1,1
Simone Damasceno Gomes,1,231,231.0,231,1,1
Carlos Jorquera-Aguilera,11,231,21.0,79,6,11
Antonio Djalma Nunes Ferraz-Junior,1,231,231.0,231,1,1
Gabriel Gutiérrez-Jarpa,13,230,17.69,57,7,13
Marika Asgari,3,230,57.5,142,4,4
Maura Rojas-Pirela,9,230,25.56,60,8,9
Manuel Gonzalez-Espinoza,14,230,16.43,46,8,14
Tilman Tröster,3,230,57.5,142,4,4
Silvia Redón Pantoja,18,229,12.72,68,7,15
Benjamin L. Schmitt,4,229,57.25,105,3,4
Fabiane Oliveira Farias,17,229,13.47,40,10,15
María José Paredes-Martínez,3,229,76.33,132,3,3
Lea Hellmueller,5,229,45.8,142,4,5
R. Eduardo Palma,16,228,14.25,48,9,15
Hélios Pareja-Galeano,4,228,57.0,152,4,4
Samia Kahlal,14,228,16.29,73,9,14
Mauricio Núñez,8,228,28.5,87,5,8
Javier Torres‐Vallejos,18,228,12.67,52,8,15
Alejandro Lucía,5,228,45.6,152,4,5
Fabián Sanchis‐Gomar,4,228,57.0,152,4,4
Carmen Fiuza‐Luces,5,228,45.6,152,4,5
Elías Pinilla,7,228,32.57,83,6,7
Rodrigo Andrade Martinez,2,228,114.0,138,2,2
Juan Carlos Aravena,2,227,113.5,213,2,2
Pablo Muñoz,4,227,56.75,197,3,4
Leandros Perivolaropoulos,3,226,75.33,184,3,3
Óscar Franchi,9,226,25.11,118,5,9
Ana Aguilar‐Paredes,5,225,45.0,151,5,5
Paula García,2,225,112.5,130,2,2
Polyana Batista da Silva,2,225,112.5,204,2,2
Mercer R. Brugler,2,225,112.5,197,2,2
Joseph A. Cook,3,225,75.0,96,3,3
Roberto Vega,4,225,56.25,75,4,4
Luis Lillo,12,225,18.75,61,8,12
Ryoichi Horisaki,2,225,112.5,224,1,2
Mamoru Saito,1,224,224.0,224,1,1
Haiyan Wang,2,224,112.0,142,2,2
Jun Tanida,1,224,224.0,224,1,1
José Ricardo Pérez‐Correa,9,224,24.89,65,6,9
Yohei Nishizaki,1,224,224.0,224,1,1
Sebastián Henríquez-Olavarrieta,1,224,224.0,224,1,1
Francisca Vera,3,224,74.67,108,3,3
Matias Valdivia,1,224,224.0,224,1,1
Katsuhisa Kitaguchi,1,224,224.0,224,1,1
Edson C. Tandoc,2,224,112.0,142,2,2
Matheus Franco,11,223,20.27,73,5,11
Sergio A. Velastín,9,223,24.78,141,5,9
Alfonso Oliva,28,223,7.96,43,8,12
Juan Diego Maya,8,223,27.88,47,7,8
Cuauhtemoc Campuzano,12,223,18.58,76,7,12
B.M. Rosales,8,223,27.88,88,6,8
Rodrigo Andler,12,222,18.5,60,8,12
Jeremias Leão,8,222,27.75,57,7,8
Patricio Winckler,13,222,17.08,64,7,13
Beatriz Oelckers,12,222,18.5,43,9,12
C. Garrido,4,222,55.5,76,4,4
Sriram Sankaranarayanan,9,221,24.56,91,6,9
Leszek Demkowicz,2,221,110.5,131,2,2
Danilo Carvajal,11,221,20.09,71,9,11
J. Zitelli,2,221,110.5,131,2,2
Francisco de la Barrera,4,221,55.25,196,4,4
Cody J. Duell,6,220,36.67,101,5,6
Adalberto Pessoa,11,220,20.0,40,9,11
Felipe Aravena,21,220,10.48,41,7,14
Alan R. Nelson,5,220,44.0,107,5,5
C. Ledoux,11,220,20.0,81,8,11
Sergey Davydov,6,219,36.5,82,5,6
Karen L. Masters,2,219,109.5,206,2,2
Lorena Bearzotti,7,219,31.29,127,4,7
Charlie Conroy,2,219,109.5,206,2,2
Alejandro Gómez‐Bruton,7,219,31.29,184,3,7
Ivan Lacerna,2,219,109.5,206,2,2
Jairo H. Migueles,13,218,16.77,48,8,13
Sebastián Higuera‐Llantén,9,218,24.22,107,5,9
T. Díaz-Santos,3,218,72.67,216,1,3
Patrice Brehmer,6,218,36.33,77,5,6
Giovana Sant’Ana Pegorin Brasil,14,218,15.57,61,7,14
Christian Schulze Gronover,2,218,109.0,207,2,2
Nayrim Brizuela Guerra,14,218,15.57,61,7,14
Francisco Cubillos,14,218,15.57,33,8,14
Claudio Mourgues,6,218,36.33,67,6,6
Eduardo Olguín,53,218,4.11,36,7,11
Héctor Allende,28,218,7.79,48,9,14
Dirk Prüfer,2,218,109.0,207,2,2
Cristián Valenzuela,16,218,13.62,64,9,14
Óscar Pizarro,8,217,27.12,68,6,8
Jorge Zanelli,13,217,16.69,41,9,13
Roberto Limongi,7,217,31.0,100,5,7
Luis A. Rojas,1,217,217.0,217,1,1
Jason Tumlinson,6,217,36.17,74,6,6
Véra Oerder,7,217,31.0,68,5,7
Vladimir E. Fedosov,7,217,31.0,45,7,7
Leidy Lagos,10,217,21.7,58,7,10
T. M. Hughes,1,216,216.0,216,1,1
Francisco Tello‐Ortiz,8,216,27.0,72,6,8
Gergö Popping,1,216,216.0,216,1,1
D. Cormier,1,216,216.0,216,1,1
L. Hernández-García,2,216,108.0,206,2,2
Fabian Walter,1,216,216.0,216,1,1
O Binvignat,6,216,36.0,185,4,6
José Luis Iriarte,6,216,36.0,57,6,6
Liza Laroze,7,216,30.86,105,4,7
W. Rujopakarn,1,216,216.0,216,1,1
María Leonor Conejeros-Solar,29,215,7.41,48,9,13
Irina Kovalskys,9,215,23.89,68,7,9
Gianfranco Debernardi,4,215,53.75,107,3,4
Lilia Yadira Cortés,9,215,23.89,68,7,9
Mauro Fisberg,9,215,23.89,68,7,9
Williams H. Leiva,17,215,12.65,63,9,14
Marianella Herrera‐Cuenca,9,215,23.89,68,7,9
Attilio Rigotti,9,215,23.89,68,7,9
Martha Cecilia Yépez García,9,215,23.89,68,7,9
Malba Barahona,12,215,17.92,47,7,12
Nataly Maturana,5,215,43.0,161,4,5
Diana Delgado,10,215,21.5,88,6,10
Georgina Gómez,9,215,23.89,68,7,9
Shahab Joudaki,2,214,71.33,142,3,3
Patricia Peñaloza,27,214,7.93,34,8,14
Benjamin Giblin,2,214,71.33,142,3,3
José A. Boninsegna,1,213,213.0,213,1,1
Felipe Flores,1,213,213.0,213,1,1
Tomás Muñoz,1,213,213.0,213,1,1
Ana M. Srur,1,213,213.0,213,1,1
Facundo Rojas,1,213,213.0,213,1,1
Jorge Gallardo-Cerda,7,213,30.43,49,6,7
Mariano S. Morales,1,213,213.0,213,1,1
Fleur Couvreux,1,213,213.0,213,1,1
Milagros Rodríguez‐Catón,1,213,213.0,213,1,1
M. R. Prieto,1,213,213.0,213,1,1
Edward R. Cook,1,213,213.0,213,1,1
Park Williams,1,213,213.0,213,1,1
Lucas O. Bianchi,1,213,213.0,213,1,1
Jaime W. Morales,16,213,13.31,42,8,14
Edwar Fuentes,6,213,35.5,78,6,6
Jason E. Smerdon,1,213,213.0,213,1,1
David Lister,1,213,213.0,213,1,1
Velazquez Gonzalo,1,213,213.0,213,1,1
Diego Aliste,1,213,213.0,213,1,1
Brian H. Luckman,1,213,213.0,213,1,1
Eugenia Marcotti,1,213,213.0,213,1,1
G. Guiglion,2,212,106.0,206,2,2
Martine Potin‐Gautier,6,212,35.33,58,6,6
Laurence Packer,3,212,70.67,97,3,3
Javier Enrione,4,212,53.0,148,4,4
Rafael Mellado,27,212,7.85,79,8,14
Ramón Sotomayor‐Zárate,7,212,30.29,147,4,7
Carla Taramasco,8,212,26.5,49,7,8
José A. Pino,8,211,26.38,83,6,8
Álvaro Aliaga,5,211,42.2,76,4,5
Alejandro Venegas‐González,12,211,17.58,56,8,12
Eduardo Menschel,3,210,70.0,138,3,3
Leonardo R. Castro,5,210,42.0,92,5,5
Román Osorio-Comparán,33,210,6.36,40,8,13
Fernando Silva-Illanes,3,210,70.0,155,2,3
Noelia Flores,19,209,11.0,55,7,14
Paulina Morales,7,209,29.86,65,6,7
Roberto Domínguez,5,209,41.8,75,4,5
S. Ordóñez,19,209,11.0,35,9,14
Ricardo Giesecke,5,209,41.8,114,4,5
L. T. Ellis,7,209,29.86,45,7,7
Matt von Konrat,11,209,19.0,80,6,11
Carolina Lagos,27,208,7.7,55,8,13
Sílvia Salvans Ruiz,1,208,208.0,208,1,1
Vincent Dorcet,10,208,20.8,54,8,10
Arnau Ulsamer,1,208,208.0,208,1,1
Consuelo Núñez,3,208,69.33,156,3,3
Keren Sharon,8,208,26.0,81,7,8
E. Clavijo,4,208,52.0,76,4,4
Humberto Palza,5,208,41.6,87,5,5
Fabiana Passos,4,208,52.0,120,4,4
Cédric Cotté,2,208,104.0,136,2,2
Antonio R.G. Susperregui,1,208,208.0,208,1,1
Ma. José Ortuño,1,208,208.0,208,1,1
Grace Ruiz,1,207,207.0,207,1,1
Luisa R. Escudero,1,207,207.0,207,1,1
Daniel Heinzmann,1,207,207.0,207,1,1
Michael Eckhardt,1,207,207.0,207,1,1
Regula Schmid‐Hempel,1,207,207.0,207,1,1
Manisha Caleb,7,207,29.57,96,5,7
Jessica J. Scriven,1,207,207.0,207,1,1
Carlos E. Lange,1,207,207.0,207,1,1
Claudio Elórtegui-Gómez,27,207,7.67,44,8,14
Cristóbal Sifón,6,207,34.5,125,5,6
Nicholas F. Cothard,5,207,41.4,101,4,5
Santiago Plischuk,1,207,207.0,207,1,1
Paul R. Sheppard,8,207,25.88,63,5,8
Paul Schmid‐Hempel,1,207,207.0,207,1,1
Rahel M. Salathé,1,207,207.0,207,1,1
Dave Goulson,1,207,207.0,207,1,1
Patricio Häberle,13,207,15.92,69,8,13
M. Halpern,3,206,68.67,105,2,3
M. Krumpe,1,206,206.0,206,1,1
Esra Bülbül,1,206,206.0,206,1,1
Gabriella Contardo,1,206,206.0,206,1,1
Abigail A. Coker,1,206,206.0,206,1,1
Alexander P. Ji,1,206,206.0,206,1,1
Eugenia M. Gayó,7,206,29.43,57,6,7
Matthias Kluge,1,206,206.0,206,1,1
Logan B. Fries,1,206,206.0,206,1,1
Christian Nıtschelm,1,206,206.0,206,1,1
Viktor Malanushenko,1,206,206.0,206,1,1
Xin Liu,1,206,206.0,206,1,1
Sebastian Demasi,1,206,206.0,206,1,1
Dan Maoz,1,206,206.0,206,1,1
William A. Hoffmann,1,206,206.0,206,1,1
Pramod Gupta,1,206,206.0,206,1,1
Jennifer A. Johnson,1,206,206.0,206,1,1
F. Di Mille,1,206,206.0,206,1,1
Natalie Myers,1,206,206.0,206,1,1
G. Matijevič,1,206,206.0,206,1,1
Laura Azócar,3,206,68.67,109,3,3
Alexandre Roman–Lopes,1,206,206.0,206,1,1
Aidan McBride,1,206,206.0,206,1,1
Peter B. Dow,1,206,206.0,206,1,1
Paulo Jakson Assuncao Lago,1,206,206.0,206,1,1
Christian R. Hayes,1,206,206.0,206,1,1
Arlin Cortes,1,206,206.0,206,1,1
Héctor J. Ibarra-Medel,1,206,206.0,206,1,1
C. J. Grier,1,206,206.0,206,1,1
C. González,1,206,206.0,206,1,1
Katie Grabowski,1,206,206.0,206,1,1
Vedant Chandra,1,206,206.0,206,1,1
J. L. Iriarte,2,206,103.0,114,2,2
Nicolás Jara,17,206,12.12,63,7,14
Carmen Gloria Núñez,23,206,8.96,32,8,14
Keith Hawkins,1,206,206.0,206,1,1
C. A. Negrete,1,206,206.0,206,1,1
J. J. Hermes,1,206,206.0,206,1,1
John J. Bochanski,1,206,206.0,206,1,1
Sandra J. Bucci,1,206,206.0,206,1,1
Collin Dabbieri,1,206,206.0,206,1,1
Augusto C. Franco,1,206,206.0,206,1,1
Megan C. Davis,1,206,206.0,206,1,1
Marina Kounkel,1,206,206.0,206,1,1
David W. Hogg,1,206,206.0,206,1,1
J. A. Hinojosa,1,206,206.0,206,1,1
A. B. A. Queiroz,1,206,206.0,206,1,1
Sara Frederick,1,206,206.0,206,1,1
E. Benítez,1,206,206.0,206,1,1
Juna A. Kollmeier,1,206,206.0,206,1,1
Junqiang Ge,1,206,206.0,206,1,1
Felipe Besser,1,206,206.0,206,1,1
P. Jofré,1,206,206.0,206,1,1
A. Merloni,1,206,206.0,206,1,1
Dhanesh Krishnarao,1,206,206.0,206,1,1
Fabián G. Scholz,1,206,206.0,206,1,1
Matin Macktoobian,1,206,206.0,206,1,1
David L. Nidever,1,206,206.0,206,1,1
Patrick B. Hall,1,206,206.0,206,1,1
Jamey E. Eriksen,1,206,206.0,206,1,1
William Nielsen Brandt,1,206,206.0,206,1,1
Ilija Medan,1,206,206.0,206,1,1
J. Eduardo Méndez-Delgado,1,206,206.0,206,1,1
Szabolcs Mészáros,1,206,206.0,206,1,1
Carla Duarte-Nass,3,206,68.67,109,3,3
B. T. Gänsicke,1,206,206.0,206,1,1
Chervin F. P. Laporte,1,206,206.0,206,1,1
Frederick C. Meinzer,1,206,206.0,206,1,1
Sean Morrison,1,206,206.0,206,1,1
Andrew R. Casey,1,206,206.0,206,1,1
T. Masseron,1,206,206.0,206,1,1
G. Goldstein,1,206,206.0,206,1,1
María Rodríguez‐Ayllón,10,205,20.5,48,8,10
Gianni Olguin,9,205,22.78,84,6,9
César A. Cárdenas,6,205,34.17,136,4,6
Erika Griesshaber,5,205,41.0,71,4,5
Miguel Aizpun,5,205,41.0,168,4,5
HE González,3,205,68.33,138,3,3
Rodrigo Reyes,2,205,102.5,204,1,2
Dariela Núñez,2,204,102.0,139,2,2
José Luis Valín Rivera,36,204,5.67,67,7,13
Henry Silke,5,204,40.8,82,5,5
Beatriz Novoa,2,204,102.0,147,2,2
Roberto F. Nespolo,14,204,14.57,49,7,14
Diana Zakaryan,17,204,12.0,59,8,14
James Goff,3,203,67.67,90,3,3
Catherine Chagué‐Goff,3,203,67.67,90,3,3
Rodrigo A. Garrido,3,203,67.67,83,3,3
María de los Ángeles García,5,202,40.4,62,5,5
Alberto Garcı́a,8,202,25.25,96,6,8
V. K. Oikonomou,4,202,50.5,81,4,4
Mireia Mestre,5,202,40.4,100,3,5
José Luis Martínez,11,202,18.36,74,7,11
David K. A. Barnes,2,201,100.5,136,2,2
Kevin A. Hughes,2,201,100.5,136,2,2
Sian F. Henley,2,201,100.5,136,2,2
Araceli Olivares,14,201,14.36,55,7,14
M. Aguena,11,201,18.27,43,9,11
Nelson Silva S.,3,201,67.0,145,3,3
F. Fdz‐Polanco,3,201,67.0,136,3,3
José-Manuel Poyanco,11,200,18.18,53,6,11
Sébastien Carpentier,9,200,22.22,48,7,9
Christophe Kinnard,5,200,40.0,85,4,5
José M. Saavedra,2,200,100.0,197,2,2
Andrés Moure,5,200,40.0,105,5,5
Cairé Barreto,3,200,66.67,141,3,3
Rubén Heradio,8,200,25.0,52,7,8
Marta Martínez,12,200,16.67,44,8,12
Matthew Binsted,3,199,66.33,91,3,3
David M. Jameson,10,199,19.9,44,9,10
P. Salgado,12,199,16.58,72,8,12
Eduardo Fernández,10,199,19.9,45,9,10
Kate Rowlands,2,199,99.5,177,2,2
Brian Dixon,7,198,28.29,75,5,7
Heilym Ramirez,5,198,39.6,141,4,5
Raka Jovanović,8,198,24.75,71,7,8
Andrés Vega,14,198,14.14,53,7,14
Vicente Martínez‐Vizcaíno,2,198,99.0,197,1,2
Ignacio Araya,33,198,6.0,40,8,13
Marco Caserta,7,197,28.14,78,6,7
Eduardo Cordero Quinzacara,25,197,7.88,23,9,13
Alberto José Cerrillo-Urbina,1,197,197.0,197,1,1
Rodrigo Yáñez‐Sepúlveda,70,197,2.77,25,8,11
Fabrizio Ruggeri,9,197,21.89,79,7,9
Alejandro Grajales,1,197,197.0,197,1,1
Mauricio Zúñiga,3,197,65.67,114,2,3
Javier Mora Serrano,12,197,16.42,62,6,12
Michel Ferré,5,197,39.4,60,5,5
Ernesto Contreras,6,197,32.83,53,6,6
Louise M. Crowley,1,197,197.0,197,1,1
Abigail Reft,1,197,197.0,197,1,1
Tarraneh Eftekhari,4,196,49.0,96,4,4
Francisco J. Peña,12,196,16.33,65,6,12
Crystal A. Kolden,1,196,196.0,196,1,1
Luis A. Cifuentes,1,196,196.0,196,1,1
Nicolás Borchers Arriagada,1,196,196.0,196,1,1
Caroline Brand,61,196,3.21,41,8,11
David M. J. S. Bowman,1,196,196.0,196,1,1
John T. Abatzoglou,1,196,196.0,196,1,1
F Salinas,1,196,196.0,196,1,1
Jane R. Rigby,7,196,28.0,81,6,7
Fay H. Johnston,1,196,196.0,196,1,1
Pablo Molina‐García,10,196,19.6,48,7,10
Grant J. Williamson,1,196,196.0,196,1,1
Herminia Domı́nguez,5,196,39.2,105,5,5
Joel Leja,4,196,49.0,96,4,4
Mauricio Galleguillos,9,196,21.78,66,7,9
J. Christopher Howk,6,195,32.5,74,6,6
Juan Crisóstomo,6,195,32.5,62,6,6
Hugo Oscar Méndez‐Acosta,2,195,97.5,168,2,2
Jorge Saavedra‐Torrico,11,195,17.73,68,7,11
Robinson Ramírez‐Vélez,8,195,24.38,46,7,8
Johana Gómez,10,195,19.5,92,7,10
Luís A. Cisternas,16,195,12.19,36,8,13
Yaira Barranco-Ruíz,14,195,13.93,36,8,13
Gastón Higuera,7,194,27.71,92,4,7
Sara M. Simon,4,194,48.5,93,3,4
Rahul Datta,3,194,64.67,101,2,3
Stephen P. Mayfield,1,194,194.0,194,1,1
Claudia Ojeda,13,194,14.92,59,8,13
Sara Bragança,8,194,24.25,45,6,8
B. Flaugher,9,193,21.44,43,9,9
Gloria Fernández‐Lorente,3,193,64.33,75,3,3
C.F. Caro,8,193,24.12,61,6,8
A.M. Carvajal,4,193,48.25,97,4,4
Fernando Arós,3,193,64.33,169,3,3
Matías Jeldres,14,193,13.79,54,7,13
Joanna Dunkley,4,193,48.25,93,3,4
Cláudio Zett,19,192,10.11,53,9,13
Lee A. Meisel,13,192,14.77,74,7,13
Paulo Díaz‐Calderón,2,192,96.0,148,2,2
Luis Caminos,2,192,96.0,118,2,2
Raúl Vinet,10,192,19.2,74,7,10
M. Radovich,3,192,48.0,142,3,4
Manuel Cáceres,8,192,24.0,45,8,8
Patricio Cabello,5,192,38.4,111,5,5
Sergio Galdames,12,191,15.92,80,7,12
Diego García‐Ríos,16,191,11.94,38,8,13
Marcela Parraguez,38,191,5.03,74,6,13
Sonnia Parra,13,191,14.69,62,5,13
Francisco Aguayo,10,191,19.1,74,6,10
Ed Garrett,7,191,27.29,55,6,7
Panagiota Kanti,2,190,95.0,144,2,2
R.A. Zárate,5,190,38.0,88,5,5
Jonathan L. Dunnum,2,190,95.0,96,2,2
Eric P. Hoberg,2,190,95.0,96,2,2
S. Fuentes,5,190,38.0,88,5,5
Guozhao Ji,5,190,38.0,84,5,5
Matías A. Valenzuela,48,190,3.96,43,7,12
Liv Torunn Mydland,9,190,21.11,58,6,9
Carolina Garín,9,190,21.11,69,6,9
Stephen E. Greiman,2,190,95.0,96,2,2
Gaston Giribet,4,189,47.25,147,4,4
Suleivys M. Nuñez,15,189,12.6,43,7,13
Matthew H. Pinkerton,2,188,94.0,116,2,2
Bingbing Li,11,188,17.09,61,7,11
Ben Ingram,2,188,94.0,107,2,2
Lorena Álvarez,9,188,20.89,77,5,9
A. Roldán-Molina,4,188,47.0,120,3,4
R. Miquel,15,188,12.53,43,9,13
Valeria Anabalón,7,188,26.86,51,7,7
Matthew Bardeen,2,188,94.0,107,2,2
Vasily Kokorev,10,188,18.8,49,8,10
Luiz FF Royes,1,187,187.0,187,1,1
Jaime Alfaro,14,187,13.36,33,8,13
María E. Báez,4,187,46.75,78,4,4
Nélson Rodrigues de Carvalho,1,187,187.0,187,1,1
Pantelis Katharios,4,187,46.75,139,4,4
Camila Álvarez-Garretón,5,187,37.4,133,4,5
K.K. Aggarwal,2,187,93.5,185,2,2
Felipe Aguilar,4,187,46.75,66,4,4
J. Fernández‐Rossier,3,187,62.33,120,3,3
Yosselin Huentupil,10,187,18.7,66,7,10
Felipe Corro-Guerra,2,186,93.0,156,2,2
Felipe Rodríguez,3,186,62.0,147,3,3
T. Erben,2,186,62.0,142,3,3
F. Darabi,2,186,93.0,155,2,2
Eduardo Bustos‐Obregón,3,186,62.0,86,3,3
Pilar Barría,3,186,62.0,133,3,3
Ester Verdaguer,1,185,185.0,185,1,1
Carme Auladell,1,185,185.0,185,1,1
Luis Espinoza,8,185,23.12,61,5,8
María José Marchant,12,185,15.42,39,8,12
Casey Law,1,185,185.0,185,1,1
Bryan Butler,1,185,185.0,185,1,1
Hernán Santa María,4,185,46.25,83,3,4
Laura Fuentes,4,185,46.25,108,4,4
Jessica Sydnor,1,185,185.0,185,1,1
Rui Luo,1,185,185.0,185,1,1
Antoni Camins,1,185,185.0,185,1,1
Mauricio Bohada‐Murillo,5,185,37.0,93,4,5
Francesc X. Soriano,1,185,185.0,185,1,1
Karina Oyarce,5,185,37.0,62,5,5
Kejia Lee,1,185,185.0,185,1,1
J. L. Han,1,185,185.0,185,1,1
Jordi Olloquequi,1,185,185.0,185,1,1
Juan Pablo Zavala-Crichton,30,185,6.17,43,7,13
Pablo Alcaíno,4,185,46.25,83,3,4
Elizabeth Cornejo-Córdova,1,185,185.0,185,1,1
Martin Herold,2,184,92.0,99,2,2
Paris Lavín,8,184,20.44,49,6,9
Neven Duić,7,184,26.29,63,6,7
Francisco Javier Ruiz‐Ojeda,3,184,61.33,109,2,3
Savvas Nesseris,1,184,184.0,184,1,1
Niels C. Bols,4,184,46.0,71,4,4
Saiful Muhammad,5,183,36.6,67,5,5
Nicolás Salinas-Parra,16,183,11.44,43,7,13
Laurent Kremer,5,183,36.6,47,5,5
Rodrigo Wiff,27,183,6.78,53,7,12
Concepción J. Puerta,12,183,15.25,52,8,12
Verónica Molina,16,182,11.38,56,8,13
Neale R. Smith,7,182,26.0,70,6,7
Christian Santander,16,182,11.38,49,7,13
R. A. Gruendl,9,182,20.22,43,8,9
J. García-Bellido,9,182,20.22,43,8,9
Freddy A. Lucay,21,182,8.67,36,8,13
F. Acevedo,12,182,15.17,46,7,12
J. Van Lanen,3,182,60.67,105,3,3
Muhammad Azeem Akbar,6,182,30.33,68,5,6
Haroldo Toro,5,182,36.4,97,2,5
Jimena Cortés,9,182,20.22,85,5,9
Sergio Ciordia,15,182,12.13,35,7,13
K. Kuehn,9,182,20.22,43,8,9
J. R. Villanueva,13,181,13.92,51,8,13
Gonzalo Mejía,8,181,22.62,45,7,8
Nathalie Kühn,15,181,12.07,32,9,13
M. Carrasco Kind,8,181,22.62,43,8,8
Ricardo Simpson,8,181,22.62,97,6,8
Alfredo Molina,8,181,22.62,64,7,8
Juan Antonio Valdés,9,181,20.11,64,7,9
Javier Del Ser,2,181,90.5,140,2,2
E. Bertin,8,181,22.62,43,8,8
Daniel Cabrera‐Paniagua,29,181,6.24,24,8,11
Magdalena Bobowik,3,181,60.33,141,3,3
José M. Garrido,16,180,11.25,62,7,13
Juan C. Forero,10,180,18.0,81,6,10
Willy Verstraete,2,180,90.0,139,2,2
Joan Villena,11,180,16.36,46,8,11
Florian Paillet,2,180,90.0,155,2,2
Wen-fai Fong,3,180,60.0,83,3,3
Norma A. Valdez‐Cruz,5,180,36.0,62,5,5
E. López,7,180,25.71,128,4,7
Álex Garrido-Méndez,16,180,11.25,34,8,13
Omar Luna,6,180,30.0,92,5,6
Ricardo Prego,3,179,59.67,85,3,3
Marcelo Becerra,22,179,8.14,30,8,13
E. A. Lissi,13,179,13.77,42,8,13
Misook Lee,7,179,25.57,107,5,7
Doris Soto,5,179,35.8,91,5,5
Christi I-Hsuan Lin,6,179,29.83,107,5,6
Jennifer C. Grixti,2,178,89.0,97,2,2
Alvaro Rodrigo Vidal Olivares,3,178,59.33,138,3,3
Robin E. Owen,2,178,89.0,97,2,2
Amro Zayed,2,178,89.0,97,2,2
Ioná Zalcman Zimberg,6,177,29.5,68,5,6
Freddy Célis,7,177,25.29,76,5,7
Jose M. Lanza-Gutiérrez,13,177,13.62,69,6,13
Michael Blanton,1,177,177.0,177,1,1
I. Ferrero,9,177,19.67,43,8,9
Jonathan Cisterna,10,177,17.7,54,7,10
Juliana Ferreira Floriano,11,177,16.09,61,7,11
Víctor Vidal,4,177,44.25,62,4,4
José Sánchez Gallego,1,177,177.0,177,1,1
M. Alejandro Dinamarca,6,177,29.5,71,6,6
Maria Argudo-Fernández,1,177,177.0,177,1,1
KAREN MASTERS,1,177,177.0,177,1,1
Kyle Westfall,1,177,177.0,177,1,1
Joel Brownstein,1,177,177.0,177,1,1
Arturo Levicán,13,176,13.54,41,7,13
María Jesús Araya,5,176,35.2,135,4,5
Sebastián Boltaña,7,176,25.14,51,6,7
B. W. Stappers,6,176,29.33,96,4,6
Francis Mairet,2,176,88.0,168,2,2
Paola Moraga,24,176,7.33,43,7,12
Óscar Jerez,20,176,8.8,32,8,12
Mauricio Aguayo,3,176,58.67,90,3,3
Victoriano Campos,13,176,13.54,48,9,13
Hernán Gaete,9,175,19.44,34,7,9
Marcelo Lobo Heldwein,4,175,43.75,157,3,4
G. Gutiérrez,13,175,13.46,43,8,13
Patricio Olmedo,9,175,19.44,82,7,9
Gonzalo Garcia,17,175,10.29,39,8,13
Carol Mutch,3,175,58.33,94,3,3
Javier Sanchez‐Martinez,19,175,9.21,38,7,13
Alejandra Beghelli,20,175,8.75,34,9,12
Claus Behn,6,174,29.0,106,5,6
Grazyella Yoshida,3,174,58.0,121,3,3
E. Gaztañaga,14,174,12.43,43,8,13
Mónica Mesa,7,174,24.86,77,6,7
