autor,publicaciones,total_citaciones,cit_promedio,max_citaciones,h_index,g_index
Rodrigo Ramos‐Jiliberto,21,625,29.76,294,12,21
Rodrigo Olivares,54,624,11.56,140,14,24
G. Cabello,33,622,18.85,66,15,24
María Luisa Humanes,18,621,34.5,142,11,18
Amanda MacInnis,9,617,68.56,140,8,9
Miguel Urrestarazu,16,612,38.25,307,11,16
Maria Salatino,20,611,30.55,140,12,20
Carolina Yáñez,39,604,15.49,217,13,24
Daniel Becker,8,599,74.88,140,7,8
Thibaut Louis,17,599,35.24,125,10,17
Dante Queirolo,46,598,13.0,323,10,23
Robert L. Wesson,14,591,42.21,107,11,14
Rodolfo Villarroel,54,590,10.93,63,14,22
Beatriz Cancino,22,584,26.55,304,11,22
Esteban Vera,61,583,9.56,224,14,23
Ricardo Villalba,5,580,116.0,246,5,5
Edison Atencio,53,578,10.91,56,16,23
Matthew Hasselfield,9,578,64.22,125,8,9
Massimiliano Zanin,4,575,143.75,240,4,4
Ignacio Muga,36,575,15.97,131,13,23
Rodrigo Arancibia,25,574,22.96,63,14,23
Marían Bilbao,31,573,18.48,141,13,23
John M. O’Meara,7,573,81.86,408,7,7
J. Richard Bond,20,573,28.65,105,12,20
Michael Seeger,27,571,21.15,217,12,23
Marcel G. Clerc,36,571,15.86,78,12,23
Yuki Sawai,3,569,189.67,530,3,3
Fernando Alberício,23,567,24.65,128,13,23
Adolfo Cisterna,5,565,113.0,227,5,5
Annaliese A. Eipert,2,563,281.5,530,2,2
Brian F. Atwater,3,563,187.67,530,2,3
Nibaldo Rodríguez,67,562,8.39,72,12,22
G. Magdis,18,561,31.17,216,13,18
F. Bournaud,10,559,55.9,216,9,10
Gabriel Hermosilla,37,558,15.08,66,13,23
Hugo Verdejo,19,558,29.37,80,13,19
M.A. del Valle,16,557,34.81,131,10,16
Mauricio Cataldo,19,557,29.32,147,11,19
Helton Saulo,27,555,20.56,59,13,23
Rafael Diego Rosa,12,554,46.17,141,10,12
Shannon M. Duff,12,554,46.17,140,10,12
Marco Mellado,32,549,17.16,60,15,22
Francisco S. N. Lobo,5,547,109.4,271,5,5
Yerko Vásquez,24,547,22.79,131,12,23
M. Villarroel,20,546,27.3,235,8,20
Yilun Guan,19,544,28.63,140,11,19
María Ángela Barbieri,31,543,17.52,86,12,22
Paula Rojas,44,543,12.34,56,14,22
Gérson Ferrari,47,543,11.55,76,15,22
Marcelo Lagos,3,543,181.0,530,3,3
Jorge Olivares‐Pacheco,40,541,13.52,107,12,22
Gastón Giribet,21,541,25.76,259,11,21
Daizhong Liu,16,539,33.69,216,11,16
Jaime Romero,18,539,29.94,92,11,18
Jorge G. Farías,9,537,59.67,224,8,9
Masanobu Shishikura,2,536,268.0,530,2,2
Carlos Celis‐Morales,29,536,18.48,87,13,23
Matías Carvajal,21,535,25.48,182,11,21
Italo F. Cuneo,32,533,16.66,95,12,22
Minolfa C. Prieto,31,533,17.19,67,14,23
Carla Aburto,18,533,29.61,144,12,18
Keith W Bannister,5,532,106.4,279,5,5
Ryan M. Shannon,6,532,88.67,279,5,6
Juan M. Lema,11,531,48.27,155,10,11
Gonzalo Machuca,1,530,530.0,530,1,1
Ignacio Salgado,1,530,530.0,530,1,1
Javed K. Malik,1,530,530.0,530,1,1
Yan Rizal,1,530,530.0,530,1,1
C. P. Rajendran,1,530,530.0,530,1,1
Muhammad Husni,1,530,530.0,530,1,1
Takanobu Kamataki,1,530,530.0,530,1,1
Jason E. Austermann,9,529,58.78,140,8,9
Carlos Poblete-Echeverría,13,529,40.69,114,8,13
L. Guerrero,12,526,43.83,260,9,12
Gastón Lefranc,76,526,6.92,48,13,20
Tiberiu Harko,5,524,104.8,271,5,5
Carlos Martin‐Barreiro,38,523,13.76,68,14,21
Ricardo D. Moreno,11,522,47.45,224,10,11
Norman Cruz,22,521,23.68,147,11,22
Claudio Cubillos,96,521,5.43,57,12,17
Roberto Fernández‐Lafuente,10,521,52.1,140,9,10
D. Elbaz,16,521,32.56,216,10,16
Radouane Gannouji,26,520,20.0,144,11,22
Carlos P. Sotomayor,24,519,21.62,64,13,22
P. A. González,20,518,25.9,131,12,20
Alejandro Madrid,30,518,17.27,61,15,22
Ruggiero Lovreglio,2,517,258.5,384,2,2
Jordi J. Cairó,5,512,102.4,176,4,5
M. Sami,9,510,56.67,108,8,9
Guido Plaza,43,509,11.84,53,13,20
Joel N. Ullom,9,507,56.33,140,8,9
Eduardo Lalla‐Ruiz,11,506,46.0,131,10,11
René Valdés,30,506,16.87,67,15,22
Marjorie Morales,13,504,38.77,256,11,13
Gustavo Ciudad,4,503,125.75,205,4,4
Guilherme Bresciani,13,502,38.62,187,12,13
Sébastien Sauvé,15,502,33.47,80,13,15
A. Figliola,4,501,125.25,300,4,4
José Gallardo,34,498,14.65,91,14,22
Nelson Videla,29,498,17.17,52,14,21
Fernando A. Gómez,20,497,24.85,74,12,20
Giovanni Daneri,9,495,55.0,138,8,9
Javier Gimpel,5,495,99.0,194,4,5
Carmen E. Morales,16,494,30.88,105,12,16
Carminna Ottone,34,494,14.53,48,14,21
Olga Rubilar,4,493,123.25,205,4,4
Omar Darwish,12,493,41.08,105,8,12
Antonio Lara,10,490,49.0,213,8,10
Vicente Aprigliano,70,488,6.97,83,13,20
F. Martı́n,27,488,18.07,77,14,21
Rongmon Bordoloi,8,488,61.0,279,7,8
Eleftherios Papantonopoulos,12,487,40.58,126,11,12
Delphine Destoumieux‐Garzón,7,484,69.14,141,7,7
Juan Larraín,33,484,14.67,80,13,21
