author_id,author_name,afiliacion_actual,orcid,areas_tematicas,documentos,citas,h_index,metricas_extra_json,status,error,scraped_at
22953630400,"Leiva, Víctor",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0003-4755-3270&authorId=22953630400&origin=AuthorProfile&orcId=0000-0003-4755-3270&category=orcidLink,,287,"7,733",52,"{""metrica_3"": ""2"", ""metrica_4"": ""0"", ""metrica_5"": ""0"", ""metrica_6"": ""1"", ""metrica_7"": ""3"", ""metrica_8"": ""1"", ""metrica_9"": ""1"", ""metrica_10"": ""1"", ""metrica_11"": ""6"", ""metrica_12"": ""2""}",ok,,2026-08-17T04:50:07.860179+00:00
55785313900,"Voß, Stefan",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0003-1296-4221&authorId=55785313900&origin=AuthorProfile&orcId=0000-0003-1296-4221&category=orcidLink,,373,"11,315",56,{},ok,,2026-08-17T04:50:07.365331+00:00
55078409700,"Sifón, Cristóbal",,,,186,"9,745",50,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0"", ""metrica_6"": ""0"", ""metrica_7"": ""0"", ""metrica_8"": ""0"", ""metrica_9"": ""0"", ""metrica_10"": ""2"", ""metrica_11"": ""1"", ""metrica_12"": ""11""}",ok,,2026-08-17T04:50:09.009395+00:00
7004170275,"Illanés, Andrés F.",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0002-4526-4195&authorId=7004170275&origin=AuthorProfile&orcId=0000-0002-4526-4195&category=orcidLink,,218,"7,063",45,"{""metrica_3"": ""0"", ""metrica_4"": ""1"", ""metrica_5"": ""0"", ""metrica_6"": ""1"", ""metrica_7"": ""3"", ""metrica_8"": ""8"", ""metrica_9"": ""6"", ""metrica_10"": ""0"", ""metrica_11"": ""0"", ""metrica_12"": ""0""}",ok,,2026-08-17T04:50:13.633275+00:00
17345738900,"Gobat, Raphaël A.S.",,,,114,"6,274",43,"{""metrica_3"": ""0"", ""metrica_4"": ""3"", ""metrica_5"": ""0"", ""metrica_6"": ""0"", ""metrica_7"": ""0"", ""metrica_8"": ""6"", ""metrica_9"": ""4"", ""metrica_10"": ""10"", ""metrica_11"": ""5"", ""metrica_12"": ""17""}",ok,,2026-08-17T04:50:15.546273+00:00
7004463815,"Guzmán, Fanny",,,,253,"6,305",42,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0"", ""metrica_6"": ""0"", ""metrica_7"": ""4"", ""metrica_8"": ""1"", ""metrica_9"": ""2"", ""metrica_10"": ""0"", ""metrica_11"": ""1"", ""metrica_12"": ""0""}",ok,,2026-08-17T04:50:16.568445+00:00
14052508500,"Pedreschi, Romina P.",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0001-9927-2919&authorId=14052508500&origin=AuthorProfile&orcId=0000-0001-9927-2919&category=orcidLink,,183,"5,334",41,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0"", ""metrica_6"": ""0"", ""metrica_7"": ""1"", ""metrica_8"": ""1"", ""metrica_9"": ""0"", ""metrica_10"": ""1"", ""metrica_11"": ""0"", ""metrica_12"": ""1""}",ok,,2026-08-17T04:50:18.138775+00:00
6507881259,"Jeison, David",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0002-2234-8257&authorId=6507881259&origin=AuthorProfile&orcId=0000-0002-2234-8257&category=orcidLink,,119,"5,588",40,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0"", ""metrica_6"": ""2"", ""metrica_7"": ""0"", ""metrica_8"": ""2"", ""metrica_9"": ""5"", ""metrica_10"": ""3"", ""metrica_11"": ""9"", ""metrica_12"": ""3""}",ok,,2026-08-17T04:50:21.171238+00:00
36492232800,"Romero-Maltrana, Diego",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0003-2550-5243&authorId=36492232800&origin=AuthorProfile&orcId=0000-0003-2550-5243&category=orcidLink,,73,"7,127",40,"{""metrica_3"": ""6"", ""metrica_4"": ""6"", ""metrica_5"": ""5"", ""metrica_6"": ""4"", ""metrica_7"": ""18"", ""metrica_8"": ""8"", ""metrica_9"": ""5""}",ok,,2026-08-17T04:50:21.985826+00:00
24449720000,"Tejos, Nicolás",,,,122,"5,637",40,"{""metrica_3"": ""1"", ""metrica_4"": ""1"", ""metrica_5"": ""1"", ""metrica_6"": ""0"", ""metrica_7"": ""5"", ""metrica_8"": ""3"", ""metrica_9"": ""4"", ""metrica_10"": ""2"", ""metrica_11"": ""2"", ""metrica_12"": ""8""}",ok,,2026-08-17T04:50:22.838288+00:00
