year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
2016,401-500,Federico Santa María Technical University,0,17.2,10.1,70.5,35.1,54.1
2016,401-500,Pontificia Universidad Católica de Chile,0,28.2,21.3,37,28,52.4
2016,501-600,University of Chile,0,28.3,19.6,30.5,0,44.1
2016,601-800,Austral University of Chile,0,16.7,9.7,14.2,41.1,45.2
2016,601-800,Pontifical Catholic University of Valparaíso,0,18.4,8,10.4,44.3,35.7
2016,601-800,"University of Santiago, Chile (USACH)",0,17.6,11.3,10.2,31,40.4
