year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
2019,401–500,Universidad del Desarrollo,37.1–41.6,12.5,8.2,94.3,35.5,45.6
2019,401–500,Diego Portales University,37.1–41.6,13.2,10.3,90.1,34.0,51.2
2019,601–800,University of Chile,26.0–33.4,24.3,18.0,34.6,34.0,50.5
2019,601–800,Federico Santa María Technical University,26.0–33.4,12.1,10.2,50.4,44.3,54.4
2019,601–800,Pontificia Universidad Católica de Chile,26.0–33.4,25.5,24.0,44.0,39.0,56.9
2019,801–1000,Austral University of Chile,19.0–25.9,14.4,11.4,23.0,46.7,50.0
2019,801–1000,University of La Frontera,19.0–25.9,15.1,16.7,32.9,34.0,45.9
2019,801–1000,University of Talca,19.0–25.9,13.0,10.8,25.2,34.0,50.5
2019,1001+,Universidad Andrés Bello (UNAB),9.8–18.9,11.8,7.4,27.8,34.2,48.5
2019,1001+,University of Bío-Bío,9.8–18.9,12.8,7.9,5.9,36.5,43.8
2019,1001+,Catholic University of the North,9.8–18.9,13.5,11.0,16.6,34.5,52.1
2019,1001+,University of Concepción,9.8–18.9,14.8,13.3,18.2,55.1,48.5
2019,1001+,Pontifical Catholic University of Valparaíso,9.8–18.9,15.3,14.3,13.8,46.9,48.7
2019,1001+,"University of Santiago, Chile (USACH)",9.8–18.9,15.1,11.4,12.1,34.1,46.2
2019,1001+,University of Tarapacá,9.8–18.9,11.4,11.6,11.4,34.0,48.4
2019,1001+,University of Valparaíso,9.8–18.9,13.5,9.2,17.1,34.3,47.0
