year,Rank,Name,No. of FTE students,No. of students per staff,International students,Female:Male ratio
2022,401–500,Pontificia Universidad Católica de Chile,"29,756",15.3,7%,
2022,501–600,Diego Portales University,"17,649",15.5,2%,50 : 50
2022,501–600,Universidad Autónoma de Chile,"27,027",23.7,1%,62 : 38
2022,501–600,Universidad del Desarrollo,"15,787",19.3,4%,56 : 44
2022,801–1000,University of Chile,"37,264",15.4,5%,49 : 51
2022,1001–1200,Pontifical Catholic University of Valparaíso,"17,411",25.4,1%,42 : 58
2022,1001–1200,University of Concepción,"28,260",17.2,2%,52 : 48
2022,1001–1200,University of La Frontera,"11,018",26.2,1%,46 : 54
2022,1001–1200,"University of the Andes, Chile","9,254",18.9,2%,58 : 42
2022,1201+,Adolfo Ibáñez University,"10,375",25.4,5%,38 : 62
2022,1201+,Austral University of Chile,"16,886",17.8,2%,52 : 48
2022,1201+,Catholic University of the North,"11,359",17.3,2%,46 : 54
2022,1201+,Federico Santa María Technical University,"19,291",25.7,4%,25 : 75
2022,1201+,San Sebastián University,"19,698",10.3,0%,62 : 38
2022,1201+,Universidad Andrés Bello (UNAB),"42,408",18.3,2%,54 : 46
2022,1201+,University of Bío-Bío,"12,933",25.7,1%,43 : 57
2022,1201+,"University of Santiago, Chile (USACH)","25,051",25.2,3%,42 : 58
2022,1201+,University of Talca,"11,367",15.4,1%,51 : 49
2022,1201+,University of Tarapacá,"9,460",31.7,3%,53 : 47
2022,1201+,University of Valparaíso,"17,089",19.0,3%,57 : 43
2022,Reporter,Arturo Prat University,"12,963",22.1,9%,55 : 45
2022,Reporter,Bernardo O’Higgins University,"6,984",18.1,2%,66 : 34
2022,Reporter,Finis Terrae University,"9,683",8.2,2%,58 : 42
2022,Reporter,Temuco Catholic University,"10,329",13.2,1%,60 : 40
2022,Reporter,Universidad Católica de la Santísima Concepción,"9,760",24.5,0%,56 : 44
2022,Reporter,Universidad Mayor,"20,649",9.7,2%,57 : 43
2022,Reporter,University of La Serena,"7,778",21.6,1%,51 : 49
2022,Reporter,University of Los Lagos,"5,249",16.9,0%,58 : 42
