year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
2026,401–500,Pontificia Universidad Católica de Chile,46.2–49.8,33.5,38.6,61.9,80.2,58.1
2026,1001–1200,University of Chile,32.1–35.4,26.6,21.5,48.3,56.5,49.3
2026,1001–1200,University of Tarapacá,32.1–35.4,12.7,23.6,55.4,21.7,58.7
2026,1201–1500,Adolfo Ibáñez University,27.3–32.0,15.6,17.4,44.3,22.7,62.5
2026,1201–1500,Diego Portales University,27.3–32.0,16.1,12.2,57.4,19.2,54.1
2026,1201–1500,Universidad del Desarrollo,27.3–32.0,16.4,12.1,47.2,28.0,51.0
2026,1201–1500,University of Concepción,27.3–32.0,19.3,18.1,40.9,47.7,50.8
2026,1201–1500,University of La Frontera,27.3–32.0,17.8,23.7,35.8,24.1,50.2
2026,1201–1500,University of La Serena,27.3–32.0,14.3,10.3,54.3,17.3,50.3
2026,1501+,Alberto Hurtado University,10.3–27.2,15.8,16.6,24.1,16.0,37.7
2026,1501+,Austral University of Chile,10.3–27.2,15.6,17.2,29.2,41.8,52.4
2026,1501+,Bernardo O’Higgins University,10.3–27.2,14.6,10.8,13.1,22.6,48.6
2026,1501+,Catholic University of the North,10.3–27.2,14.7,14.9,33.8,19.9,61.0
2026,1501+,Federico Santa María Technical University,10.3–27.2,14.5,12.9,33.0,40.7,53.8
2026,1501+,Pontifical Catholic University of Valparaíso,10.3–27.2,17.4,17.6,33.0,33.8,51.3
2026,1501+,Temuco Catholic University,10.3–27.2,21.6,11.0,14.8,18.8,45.1
2026,1501+,Universidad Andrés Bello (UNAB),10.3–27.2,15.7,10.8,37.6,22.4,52.5
2026,1501+,Universidad Autónoma de Chile,10.3–27.2,13.0,13.3,39.9,20.7,55.5
2026,1501+,Universidad Católica de la Santísima Concepción,10.3–27.2,11.7,18.2,26.9,17.6,50.3
2026,1501+,Universidad Católica del Maule,10.3–27.2,16.1,15.8,26.0,17.8,54.6
2026,1501+,Universidad Mayor,10.3–27.2,19.7,8.9,33.2,17.6,48.2
2026,1501+,Universidad Santo Tomás,10.3–27.2,13.4,10.7,15.4,16.6,45.6
2026,1501+,University of Antofagasta,10.3–27.2,22.5,9.6,40.2,18.1,55.0
2026,1501+,University of Bío-Bío,10.3–27.2,14.9,6.8,17.2,18.7,46.8
2026,1501+,University of Los Lagos,10.3–27.2,15.6,14.6,21.0,16.6,48.5
2026,1501+,"University of Santiago, Chile (USACH)",10.3–27.2,17.4,15.9,29.5,30.1,47.5
2026,1501+,University of Talca,10.3–27.2,20.1,13.7,32.6,37.6,52.0
2026,1501+,"University of the Andes, Chile",10.3–27.2,22.2,16.1,32.0,22.4,48.1
2026,1501+,University of Valparaíso,10.3–27.2,16.9,13.1,22.5,20.6,46.7
2026,Reporter,Arturo Prat University,n/a,n/a,n/a,n/a,n/a,n/a
2026,Reporter,Finis Terrae University,n/a,n/a,n/a,n/a,n/a,n/a
