year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
2018,501–600,Diego Portales University,30.7–34.9,15.7,8.7,74.7,31.8,47.7
2018,501–600,Federico Santa María Technical University,30.7–34.9,14.6,10.7,64.8,40.0,51.7
2018,501–600,Pontificia Universidad Católica de Chile,30.7–34.9,25.9,25.1,42.5,35.8,53.9
2018,601–800,University of Chile,21.5–30.6,24.4,19.0,34.3,31.8,49.1
2018,801–1000,Universidad Andrés Bello (UNAB),15.6–21.4,14.3,6.7,26.0,31.9,45.0
2018,801–1000,Austral University of Chile,15.6–21.4,17.4,10.9,24.4,42.8,48.5
2018,801–1000,Catholic University of the North,15.6–21.4,16.3,11.7,12.5,33.2,51.1
2018,801–1000,University of Concepción,15.6–21.4,17.1,13.5,20.4,57.2,47.6
2018,801–1000,University of La Frontera,15.6–21.4,16.5,9.1,17.2,32.2,43.5
2018,801–1000,Pontifical Catholic University of Valparaíso,15.6–21.4,17.4,12.9,13.2,49.0,47.7
2018,801–1000,"University of Santiago, Chile (USACH)",15.6–21.4,17.4,10.0,12.1,32.4,40.9
2018,801–1000,University of Talca,15.6–21.4,15.7,10.4,20.7,1.0,49.2
2018,801–1000,University of Valparaíso,15.6–21.4,15.9,8.2,19.2,32.1,46.3
