year,Rank,Name,No. of FTE students,No. of students per staff,International students,Female:Male ratio
2025,501–600,Pontificia Universidad Católica de Chile,"31,720",15.6,5%,
2025,1001–1200,University of Chile,"39,966",16.9,3%,51 : 49
2025,1201–1500,Adolfo Ibáñez University,"10,681",21.5,5%,38 : 62
2025,1201–1500,Diego Portales University,"17,863",16.5,3%,50 : 50
2025,1201–1500,Universidad Autónoma de Chile,"30,323",27.9,1%,64 : 36
2025,1201–1500,Universidad del Desarrollo,"16,511",15.6,4%,58 : 42
2025,1201–1500,University of Antofagasta,"7,978",13.3,2%,56 : 44
2025,1201–1500,University of Concepción,"30,363",17.9,2%,52 : 48
2025,1201–1500,University of La Serena,"7,761",24.6,0%,51 : 49
2025,1201–1500,University of Tarapacá,"10,554",31.6,3%,54 : 46
2025,1501+,Alberto Hurtado University,"7,095",20.7,2%,57 : 43
2025,1501+,Austral University of Chile,"18,994",18.5,1%,54 : 46
2025,1501+,Bernardo O’Higgins University,"9,486",18.8,7%,67 : 33
2025,1501+,Catholic University of the North,"11,660",21.4,4%,46 : 54
2025,1501+,Federico Santa María Technical University,"23,753",31.0,2%,25 : 75
2025,1501+,Pontifical Catholic University of Valparaíso,"18,179",24.2,1%,43 : 57
2025,1501+,Temuco Catholic University,"10,450",10.5,0%,61 : 39
2025,1501+,Universidad Andrés Bello (UNAB),"47,619",18.0,3%,54 : 46
2025,1501+,Universidad Católica de la Santísima Concepción,"9,750",22.5,1%,56 : 44
2025,1501+,Universidad Católica del Maule,"11,931",22.3,2%,57 : 43
2025,1501+,Universidad Mayor,"23,703",12.2,1%,55 : 45
2025,1501+,Universidad Santo Tomás,"26,627",20.9,1%,68 : 32
2025,1501+,University of Bío-Bío,"11,689",23.5,1%,43 : 57
2025,1501+,University of La Frontera,"11,847",23.0,0%,50 : 50
2025,1501+,University of Los Lagos,"6,332",17.3,0%,62 : 38
2025,1501+,"University of Santiago, Chile (USACH)","25,210",19.8,3%,45 : 55
2025,1501+,University of Talca,"11,786",14.8,1%,52 : 48
2025,1501+,"University of the Andes, Chile","10,206",18.0,2%,56 : 44
2025,1501+,University of Valparaíso,"16,626",18.5,3%,58 : 42
2025,Reporter,Arturo Prat University,"10,275",19.4,6%,59 : 41
2025,Reporter,Finis Terrae University,"10,420",9.7,3%,60 : 40
2025,Reporter,University of Magallanes,"3,754",15.3,2%,60 : 40
