"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Carlesi C.; Guajardo N.; Monteverde Videla A.; Morales J.; Aracena Á.","Carlesi, Carlos (56998584200); Guajardo, Nadia (56728431500); Monteverde Videla, Alessandro (55241658300); Morales, Jaime (16417082300); Aracena, Álvaro (6504525592)","56998584200; 56728431500; 55241658300; 16417082300; 6504525592","Bipolar packed-bed electrochemical reactor for the degradation of diclofenac; a bio-refractory organic compound","2018","Periodica Polytechnica Chemical Engineering","62","2","","188","194","1","10.3311/PPch.10354","https://www.scopus.com/pages/publications/85042500901?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85042500901"
"Hernández L.A.; Riveros G.; Martín F.; González D.M.; Lopez M.C.; León M.","Hernández, L.A. (54881716200); Riveros, G. (6701422090); Martín, F. (57947034100); González, D.M. (55771367100); Lopez, M.C. (57214375844); León, M. (58334012700)","54881716200; 6701422090; 57947034100; 55771367100; 57214375844; 58334012700","Enhanced morphology, crystallinity and conductivity of poly (3,4-ethyldioxythiophene)/ErGO composite films by in situ reduction of TrGO partially reduced on PEDOT modified electrode","2017","Electrochimica Acta","240","","","155","162","14","10.1016/j.electacta.2017.04.076","https://www.scopus.com/pages/publications/85018518153?origin=resultslist","Article","Final","","Scopus","2-s2.0-85018518153"
"Clot E.; Besora M.; Maseras F.; Mégret C.; Eisenstein O.; Oelckers B.; Perutz R.N.","Clot, Eric (6701677394); Besora, Maria (6506106474); Maseras, Feliu (7005278665); Mégret, Claire (6507834056); Eisenstein, Odile (7005543321); Oelckers, Beatriz (35556778700); Perutz, Robin N. (7006907321)","6701677394; 6506106474; 7005278665; 6507834056; 7005543321; 35556778700; 7006907321","Bond energy M-C/H-C correlations: Dual theoretical and experimental approach to the sensitivity of M-C bond strength to substituents","2003","Chemical Communications","3","4","","490","491","104","10.1039/b210036n","https://www.scopus.com/pages/publications/0037458842?origin=resultslist","Article","Final","","Scopus","2-s2.0-0037458842"
"Díaz-Barrera A.; Gutierrez J.; Martínez F.; Altamirano C.","Díaz-Barrera, Alvaro (20435715600); Gutierrez, Javiera (57213072158); Martínez, Fabiola (57213722147); Altamirano, Claudia (8332398700)","20435715600; 57213072158; 57213722147; 8332398700","Production of alginate by Azotobacter vinelandii grown at two bioreactor scales under oxygen-limited conditions","2014","Bioprocess and Biosystems Engineering","37","6","","1133","1140","22","10.1007/s00449-013-1084-2","https://www.scopus.com/pages/publications/84905681816?origin=resultslist","Article","Final","","Scopus","2-s2.0-84905681816"
"Cancino-Madariaga B.; Aguirre J.","Cancino-Madariaga, Beatriz (56610139300); Aguirre, Juan (35784046300)","56610139300; 35784046300","Combination treatment of corn starch wastewater by sedimentation, microfiltration and reverse osmosis","2011","Desalination","279","1-3","","285","290","31","10.1016/j.desal.2011.06.021","https://www.scopus.com/pages/publications/80052358188?origin=resultslist","Article","Final","","Scopus","2-s2.0-80052358188"
"Castillo T.; Flores C.; Segura D.; Espín G.; Sanguino J.; Cabrera E.; Barreto J.; Díaz-Barrera A.; Peña C.","Castillo, Tania (55667725300); Flores, Celia (7103184947); Segura, Daniel (55989812300); Espín, Guadalupe (56002684500); Sanguino, Jonathan (57193194373); Cabrera, Eliseo (57193197440); Barreto, Jasmín (57193198872); Díaz-Barrera, Alvaro (20435715600); Peña, Carlos (55989663100)","55667725300; 7103184947; 55989812300; 56002684500; 57193194373; 57193197440; 57193198872; 20435715600; 55989663100","Production of polyhydroxybutyrate (PHB) of high and ultra-high molecular weight by Azotobacter vinelandii in batch and fed-batch cultures","2017","Journal of Chemical Technology and Biotechnology","92","7","","1809","1816","28","10.1002/jctb.5182","https://www.scopus.com/pages/publications/85011565049?origin=resultslist","Article","Final","","Scopus","2-s2.0-85011565049"
"Schrebler R.; Gómez H.; Córdova R.","Schrebler, R. (56213692700); Gómez, H. (7006142241); Córdova, R. (56224655100)","56213692700; 7006142241; 56224655100","The electrodeposition of rhenium species at the sub-monolayer level on a platinum electrode and its effect on formic acid electrooxidation","1989","Electrochimica Acta","34","10","","1405","1410","15","10.1016/0013-4686(89)87179-8","https://www.scopus.com/pages/publications/0024753328?origin=resultslist","Article","Final","","Scopus","2-s2.0-0024753328"
"Huerta L.M.; Vera C.; Guerrero C.; Wilson L.; Illanes A.","Huerta, Leopoldo Martín (36739288200); Vera, Carlos (55238284100); Guerrero, Cecilia (36738876300); Wilson, Lorena (7403520925); Illanes, Andrés (7004170275)","36739288200; 55238284100; 36738876300; 7403520925; 7004170275","Synthesis of galacto-oligosaccharides at very high lactose concentrations with immobilized β-galactosidases from Aspergillus oryzae","2011","Process Biochemistry","46","1","","245","252","109","10.1016/j.procbio.2010.08.018","https://www.scopus.com/pages/publications/78650229995?origin=resultslist","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-78650229995"
"Rosales B.; Hidalgo J.; Vera R.","Rosales, Blanca (7003274712); Hidalgo, Jacqueline (36448160500); Vera, Rosa (7005768349)","7003274712; 36448160500; 7005768349","Patina nucleation on statuary bronze and brass","2008","17th International Corrosion Congress 2008: Corrosion Control in the Service of Society","3","","","1517","1527","0","","https://www.scopus.com/pages/publications/84864964378?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84864964378"
"Gentina J.C.; Acevedo F.","Gentina, Juan Carlos (7004106285); Acevedo, Fernando (7003903397)","7004106285; 7003903397","Microbial ore leaching in developing countries","1985","Trends in Biotechnology","3","4","","86","89","17","10.1016/0167-7799(85)90087-3","https://www.scopus.com/pages/publications/0021848308?origin=resultslist","Article","Final","","Scopus","2-s2.0-0021848308"
