universidad,anio,academicos_doctorado,academicos_extranjeros,academicos_jce,academicos_jce_doctorado,academicos_jce_extranjeros,academicos_total,estudiantes_doctorado,estudiantes_fte,estudiantes_magister,estudiantes_posgrado,estudiantes_pregrado,estudiantes_primer_anio,estudiantes_total,graduados_doctorado,graduados_magister,montos_anid_adjudicados,montos_anid_con_industria,pct_estudiantes_extranjeros,proyectos_anid_adjudicados,qs_puntaje_academicos_con_doctorado_latam,qs_puntaje_academicos_internacionales_global,qs_puntaje_articulos_por_academico_latam,qs_puntaje_citas_por_academico_global,qs_puntaje_citas_por_articulo_latam,qs_puntaje_diversidad_internacional_global,qs_puntaje_empleabilidad_global,qs_puntaje_estudiantes_internacionales_global,qs_puntaje_estudiantes_internacionales_latam,qs_puntaje_global_global,qs_puntaje_global_latam,qs_puntaje_impacto_web_latam,qs_puntaje_ratio_academicos_global,qs_puntaje_ratio_academicos_latam,qs_puntaje_red_internacional_global,qs_puntaje_red_internacional_latam,qs_puntaje_reputacion_academica_global,qs_puntaje_reputacion_academica_latam,qs_puntaje_reputacion_empleadores_global,qs_puntaje_reputacion_empleadores_latam,qs_puntaje_sostenibilidad_global,ratio_estudiantes_academico,the_posicion_latam,the_posicion_wur,the_puntaje_global_latam,the_puntaje_global_wur,the_puntaje_industry_latam,the_puntaje_industry_wur,the_puntaje_international_outlook_latam,the_puntaje_international_outlook_wur,the_puntaje_research_environment_latam,the_puntaje_research_environment_wur,the_puntaje_research_quality_latam,the_puntaje_research_quality_wur,the_puntaje_teaching_latam,the_puntaje_teaching_wur,titulados_especialidad_medica,titulados_pregrado,titulados_pregrado_total
Pontificia Universidad Catolica de Chile,2025,1487.0,314.0,2366.11,1225.57,245.68,3942.0,1463,31720.0,4650,6113,33765,19876,55730,224.0,1967.0,74710233000,5579090000,5.0,258,,26.0,97.4,8.8,85.6,,99.9,3.7,93.7,61.5,99.7,,23.7,57.8,82.5,99.9,93.7,100.0,98.0,100.0,79.3,15.6,,501–600,,,,74.4,,58.5,,35.2,,61.6,,29.3,307.0,4764.0,4764.0
Pontificia Universidad Catolica de Chile,2026,,,,,,,1481,28373.0,4606,6087,34297,16045,48748,,,27068937000,2275785000,6.0,189,98.3,42.0,96.8,14.2,76.7,11.9,99.9,7.8,,66.1,100.0,95.7,35.1,65.2,81.2,99.8,98.0,100.0,98.6,100.0,80.0,13.8,3,401–500,50.0,,80.2,80.2,58.1,58.1,43.6,38.6,72.6,61.9,38.0,33.5,,,
Pontificia Universidad Catolica de Chile,2027,,,,,,,,,,,,,,,,,,,,,38.9,,13.0,,,99.8,7.1,,65.6,,,38.3,,79.7,,98.1,,96.6,,80.9,,,,,,,,,,,,,,,,,,
Pontificia Universidad Catolica de Valparaiso,2015,434.0,74.0,647.05,343.45,49.12,1415.0,314,,803,1117,13855,3956,15202,49.0,334.0,6461638000,449968000,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936.0,2000.0
Pontificia Universidad Catolica de Valparaiso,2016,458.0,73.0,629.42,363.27,47.69,1432.0,343,13493.0,928,1271,14223,3934,15552,42.0,447.0,9455386000,290377000,0.0,79,,,,,,,,,,,,,,,,,,,,,,10.4,26–30,601-800,,0.0,63.0,44.3,64.3,35.7,50.7,8.0,50.2,10.4,21.4,18.4,,1657.0,1744.0
Pontificia Universidad Catolica de Valparaiso,2017,472.0,72.0,638.66,379.45,51.45,1375.0,315,15241.0,904,1219,14729,4036,15960,57.0,376.0,6110004000,363321000,1.0,83,,,,,,,,,,,,,,,,,,,,,,25.0,=20,801+,59.1,,74.1,51.7,64.5,45.2,61.2,10.7,60.1,13.5,54.3,14.0,,1991.0,2057.0
Pontificia Universidad Catolica de Valparaiso,2018,503.0,75.0,659.87,417.15,56.12,1411.0,329,14953.0,932,1261,15411,3977,16672,50.0,464.0,7089345000,212640000,1.0,78,,,,,,,,,,,,,,,,,,,,,,23.1,27,801–1000,63.5,,80.7,49.0,66.4,47.7,67.8,12.9,56.8,13.2,61.5,17.4,,1573.0,1639.0
Pontificia Universidad Catolica de Valparaiso,2019,517.0,78.0,665.07,420.4,56.04,1415.0,348,15165.0,883,1231,16214,4096,17450,58.0,378.0,7796699000,568444000,1.0,89,,,,,,,,,,,,,,,,,,,,,,23.1,23,1001+,67.6,,84.8,46.9,66.4,48.7,81.1,14.3,50.3,13.8,63.5,15.3,,1577.0,1630.0
Pontificia Universidad Catolica de Valparaiso,2020,525.0,87.0,667.95,429.67,63.27,1450.0,337,15935.0,833,1170,16631,3729,17801,41.0,500.0,5042522000,200000000,1.0,54,,,,,,,,,,,,,,,,,,,,,,24.4,23,1001+,67.0,,78.6,50.0,65.7,48.6,81.9,15.9,48.6,16.0,62.5,17.3,,1925.0,2015.0
Pontificia Universidad Catolica de Valparaiso,2021,544.0,90.0,665.51,435.11,64.15,1469.0,395,16511.0,1020,1415,16936,3565,18363,43.0,417.0,6406962000,599879000,1.0,56,,,,,,,,,,,,,,,,,,,,,,24.1,24,1001+,65.8,,63.6,47.4,69.0,48.9,85.9,16.0,55.1,17.2,52.3,16.8,,1686.0,1768.0
Pontificia Universidad Catolica de Valparaiso,2022,554.0,84.0,675.93,445.21,61.21,1490.0,393,17411.0,979,1372,16942,3653,18319,46.0,453.0,10489358000,1234598000,1.0,79,,,,,,,,,,,,,,,,,,,,,,25.4,38,1001–1200,62.0,,86.0,43.9,71.8,49.3,67.0,25.2,63.5,20.4,52.8,17.4,,1966.0,2017.0
Pontificia Universidad Catolica de Valparaiso,2023,568.0,88.0,735.98,475.02,68.19,1487.0,427,17703.0,992,1419,16798,4085,18224,62.0,640.0,12129258000,1817681000,1.0,101,,,,,,,,,,,,,,,,,,,,,,26.6,43,1201–1500,59.0,,82.3,47.4,69.9,50.0,69.3,18.1,56.8,21.4,46.5,16.6,,2887.0,2999.0
Pontificia Universidad Catolica de Valparaiso,2024,597.0,104.0,692.78,445.37,63.8,1569.0,446,18104.0,969,1415,17243,4350,18662,91.0,699.0,12276075045,1733436045,1.0,85,69.0,10.4,96.1,6.6,24.5,,8.7,1.6,,,68.8,31.8,4.9,14.4,5.3,91.3,27.3,78.9,39.6,69.8,1.8,26.2,39,1201–1500,53.3,,42.9,38.1,52.0,51.1,63.5,17.1,62.4,32.8,39.7,15.8,,2471.0,2523.0
Pontificia Universidad Catolica de Valparaiso,2025,620.0,113.0,734.49,456.68,70.77,1737.0,509,18179.0,940,1449,18583,4967,20167,85.0,615.0,12327045000,864126000,1.0,84,,11.3,98.9,6.6,40.8,,8.7,1.6,47.9,,74.6,,4.7,14.8,39.9,87.0,27.0,88.4,24.4,76.1,1.6,24.2,,1501+,,,,43.0,,51.4,,17.2,,31.0,,15.4,,2523.0,2576.0
Pontificia Universidad Catolica de Valparaiso,2026,,,,,,,561,18070.0,1030,1591,19131,5312,21125,,,12013591000,2047286000,2.0,75,60.7,15.1,99.1,13.2,45.4,2.2,12.2,2.6,,,76.4,50.3,6.8,14.8,43.3,92.7,36.4,89.0,29.0,81.4,36.9,23.2,=24,1501+,29.6,,33.8,33.8,51.3,51.3,21.7,17.6,48.1,33.0,21.4,17.4,,,
Pontificia Universidad Catolica de Valparaiso,2027,,,,,,,,,,,,,,,,,,,,,14.1,,10.5,,,12.3,2.7,,,,,6.8,,47.4,,36.9,,21.3,,40.8,,,,,,,,,,,,,,,,,,
Universidad Academia de Humanismo Cristiano,2015,56.0,15.0,138.25,26.91,6.98,416.0,19,,129,148,3479,1142,3743,2.0,59.0,454639000,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.0,575.0
Universidad Academia de Humanismo Cristiano,2016,51.0,12.0,117.64,20.98,5.43,391.0,22,,135,157,3542,1036,3831,3.0,28.0,430319000,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.0,613.0
Universidad Academia de Humanismo Cristiano,2017,45.0,10.0,133.52,21.05,3.8,344.0,40,,137,177,3274,1023,3598,6.0,69.0,515560000,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.0,558.0
Universidad Academia de Humanismo Cristiano,2018,65.0,7.0,119.89,35.07,5.59,313.0,29,,148,177,3394,1079,3671,5.0,51.0,309417000,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684.0,696.0
Universidad Academia de Humanismo Cristiano,2019,96.0,7.0,176.42,55.12,1.73,458.0,10,,138,148,3713,1208,3879,7.0,70.0,440917000,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619.0,622.0
Universidad Academia de Humanismo Cristiano,2020,98.0,12.0,175.2,53.32,5.45,444.0,19,,51,70,3487,1074,3557,2.0,67.0,611885000,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.0,557.0
Universidad Academia de Humanismo Cristiano,2021,86.0,17.0,139.49,41.58,10.11,449.0,25,,27,52,3817,1225,3960,4.0,90.0,214873000,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816.0,819.0
Universidad Academia de Humanismo Cristiano,2022,90.0,21.0,177.08,43.92,8.86,516.0,14,,57,71,3818,1176,3946,4.0,38.0,334949000,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684.0,684.0
Universidad Academia de Humanismo Cristiano,2023,95.0,16.0,146.2,27.98,4.82,513.0,15,,44,59,4154,1415,4248,3.0,35.0,258654000,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865.0,867.0
Universidad Academia de Humanismo Cristiano,2024,96.0,18.0,191.8,42.55,7.55,560.0,11,,52,63,4182,1197,4288,7.0,27.0,333433000,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,867.0,867.0
Universidad Academia de Humanismo Cristiano,2025,97.0,23.0,207.67,39.6,8.45,597.0,10,,40,50,4130,1146,4207,4.0,28.0,726660000,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903.0,903.0
Universidad Academia de Humanismo Cristiano,2026,,,,,,,5,,43,48,4146,1175,4216,,,149571000,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Adolfo Ibanez,2015,289.0,88.0,423.3,191.91,53.73,964.0,58,,2260,2318,8373,3534,11086,3.0,1397.0,2549931000,151432000,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1259.0,1259.0
Universidad Adolfo Ibanez,2016,307.0,89.0,324.89,197.32,50.36,980.0,73,,2654,2727,8769,3922,12116,3.0,1597.0,1861027000,371360000,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351.0,1351.0
Universidad Adolfo Ibanez,2017,296.0,86.0,453.52,230.18,59.45,882.0,77,,2529,2606,8651,3979,12079,6.0,1451.0,2742425000,,,40,,,,,,,,,,,,,,,,,,,,,,,31–35,,,,34.8,,89.2,,41.0,,69.4,,45.0,,,1413.0,1413.0
Universidad Adolfo Ibanez,2018,323.0,90.0,497.52,252.23,67.95,911.0,82,,1044,1126,9782,3110,11639,7.0,1300.0,2301678000,2000000,,33,,,,,,,,,,,,,,,,,,,,,,,51–60,,,,38.2,,88.6,,34.9,,83.5,,36.9,,,1211.0,1211.0
Universidad Adolfo Ibanez,2019,340.0,78.0,510.52,273.82,65.16,893.0,75,,1310,1385,9960,3253,12184,10.0,1430.0,3487016000,423590000,,40,,,,,,,,,,,,,,,,,,,,,,,51–60,,,,38.9,,88.8,,44.1,,82.9,,36.7,,,1487.0,1487.0
Universidad Adolfo Ibanez,2020,360.0,89.0,488.32,299.59,71.14,800.0,65,,1692,1757,9890,2930,12229,11.0,1636.0,3207989000,384700000,,44,,,,,,,,,,,,,,,,,,,,,,,60,,47.6,,42.3,,87.5,,41.1,,65.7,,35.9,,,1433.0,1433.0
Universidad Adolfo Ibanez,2021,394.0,112.0,546.07,315.89,78.95,955.0,83,10385.0,1806,1889,9961,3414,12813,13.0,2010.0,3741317000,399306000,5.0,32,,,,,,,,,,,,,,,,,,,,,,28.8,65,1001+,46.8,,42.3,35.4,89.3,58.6,44.0,14.6,63.7,26.5,31.6,14.8,,1589.0,1589.0
Universidad Adolfo Ibanez,2022,383.0,92.0,564.75,317.86,73.57,967.0,53,10375.0,1875,1928,9941,3341,12517,6.0,2019.0,5362023000,440000000,5.0,48,,,,,,,,,,,,,,,,,,,,,,25.4,59,1201+,51.7,,41.2,36.6,89.3,59.6,59.1,15.1,59.2,25.1,33.4,15.5,,1766.0,1766.0
Universidad Adolfo Ibanez,2023,415.0,105.0,583.43,332.07,78.43,1075.0,61,10573.0,1819,1880,10583,3258,13095,9.0,2072.0,7321433000,542410000,5.0,64,,,,,,,,,,,,,,,,,,,,,,25.7,55,1201–1500,53.3,,40.5,38.1,90.0,60.4,56.1,17.2,69.3,20.0,34.9,15.6,,1570.0,1570.0
Universidad Adolfo Ibanez,2024,433.0,105.0,598.09,342.11,74.73,1086.0,67,10606.0,1762,1829,10413,3432,12933,11.0,2032.0,6318642000,453700000,5.0,50,85.0,37.7,80.3,4.4,21.2,,13.7,4.2,,20.8,66.9,29.3,4.2,15.2,1.2,60.8,19.1,63.5,73.5,97.2,1.1,25.0,51,1201–1500,48.4,,21.7,17.1,63.7,64.1,52.3,17.4,70.8,39.2,31.6,14.8,,1944.0,1944.0
Universidad Adolfo Ibanez,2025,427.0,89.0,569.7,344.84,67.66,978.0,106,10681.0,2026,2132,10636,3885,14038,13.0,2582.0,7620248000,1884063000,5.0,54,,36.9,94.0,4.6,32.7,,53.3,3.9,41.3,21.4,75.5,,4.7,17.4,31.5,78.0,20.6,77.2,57.0,98.7,2.0,21.5,,1201–1500,,,,21.8,,63.2,,17.0,,41.8,,15.3,,1963.0,1963.0
Universidad Adolfo Ibanez,2026,,,,,,,59,10615.0,1985,2044,10948,3919,14482,,,4991190000,227700000,5.0,43,81.3,46.4,96.4,9.1,28.4,11.7,60.7,8.0,,29.0,77.1,43.6,7.6,19.5,34.4,86.8,28.7,80.0,63.3,99.0,40.0,20.9,23,1201–1500,30.8,,22.7,22.7,62.5,62.5,22.0,17.4,55.1,44.3,19.5,15.6,,,
Universidad Adolfo Ibanez,2027,,,,,,,,,,,,,,,,,,,,,43.3,,7.4,,,68.6,7.2,,26.8,,,6.6,,38.3,,25.0,,51.6,,56.5,,,,,,,,,,,,,,,,,,
Universidad Adventista de Chile,2015,13.0,14.0,115.64,11.86,10.93,193.0,,,132,132,1823,437,2008,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.0,259.0
Universidad Adventista de Chile,2016,14.0,13.0,129.39,10.3,9.52,199.0,,,86,86,1868,526,2015,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.0,247.0
Universidad Adventista de Chile,2017,21.0,18.0,156.95,14.25,13.8,234.0,,,166,166,2002,553,2189,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.0,272.0
Universidad Adventista de Chile,2018,28.0,17.0,164.07,17.09,14.98,239.0,,,125,125,2123,549,2248,,40.0,95520000,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.0,370.0
Universidad Adventista de Chile,2019,29.0,16.0,194.52,18.57,12.18,283.0,,,94,94,2131,544,2225,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,330.0
Universidad Adventista de Chile,2020,29.0,19.0,163.77,15.02,12.14,282.0,,,76,76,2274,628,2350,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.0,228.0
Universidad Adventista de Chile,2021,47.0,19.0,179.28,17.58,11.04,287.0,,,74,74,2460,539,2534,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.0,424.0
Universidad Adventista de Chile,2022,57.0,21.0,183.18,23.07,12.59,292.0,,,82,82,2544,645,2669,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.0,375.0
Universidad Adventista de Chile,2023,45.0,19.0,186.0,23.77,8.05,348.0,,,87,87,2665,709,2770,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.0,459.0
Universidad Adventista de Chile,2024,47.0,17.0,207.0,24.16,9.34,358.0,,,143,143,2688,751,2843,,52.0,287690112,227700000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.0,433.0
Universidad Adventista de Chile,2025,47.0,19.0,217.96,29.43,12.0,379.0,,,115,115,2718,715,2876,,114.0,237263000,237263000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.0,408.0
Universidad Adventista de Chile,2026,,,,,,,,,72,72,2709,727,2912,,,86664000,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Alberto Hurtado,2015,217.0,54.0,197.8,97.56,22.23,852.0,41,,927,968,5726,2571,7133,5.0,185.0,1230741000,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684.0,684.0
Universidad Alberto Hurtado,2016,204.0,64.0,225.43,101.96,24.09,865.0,53,,1047,1100,6356,2775,7881,8.0,189.0,1049147000,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742.0,742.0
Universidad Alberto Hurtado,2017,195.0,56.0,229.68,111.03,27.47,824.0,50,,828,878,6594,2442,7840,5.0,263.0,1945578000,199649000,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805.0,805.0
Universidad Alberto Hurtado,2018,247.0,51.0,252.18,138.05,25.51,845.0,50,,606,656,6897,2460,8010,9.0,220.0,2583153000,149992000,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.0,746.0
Universidad Alberto Hurtado,2019,268.0,50.0,239.5,139.5,20.8,866.0,58,,581,639,7117,2449,8243,5.0,132.0,1668763000,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765.0,765.0
Universidad Alberto Hurtado,2020,299.0,60.0,284.24,159.12,26.55,949.0,51,,561,612,7043,1889,7735,3.0,19.0,2458031000,400000000,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.0,111.0
Universidad Alberto Hurtado,2021,302.0,49.0,283.61,162.11,20.19,945.0,65,,777,842,7060,2435,8625,11.0,385.0,1468898000,199000000,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180.0,1180.0
Universidad Alberto Hurtado,2022,311.0,57.0,294.7,164.14,22.9,975.0,59,,988,1047,7095,2162,8586,10.0,258.0,2692185000,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1131.0,1131.0
Universidad Alberto Hurtado,2023,320.0,56.0,300.53,167.58,25.77,1025.0,78,,1037,1115,7276,2378,8772,28.0,453.0,2870927000,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1354.0,1354.0
Universidad Alberto Hurtado,2024,305.0,65.0,326.5,174.91,26.25,1050.0,103,,691,794,7525,2253,8638,11.0,323.0,1986841000,,,23,34.0,14.2,69.0,2.9,1.8,,7.8,1.8,,,,15.2,3.1,12.7,1.0,17.5,8.9,35.8,5.4,24.7,1.0,,85,,38.9,,15.7,,36.6,,50.6,,40.4,,29.9,,,1127.0,1127.0
Universidad Alberto Hurtado,2025,303.0,65.0,301.8,158.09,27.92,981.0,109,7095.0,740,849,7864,2496,8960,20.0,319.0,6508651000,36000000,2.0,41,,12.7,88.2,2.8,5.9,,2.2,1.7,25.4,,36.9,,3.1,10.4,8.2,25.6,8.6,45.4,4.2,32.0,1.0,20.7,,1501+,,,,15.7,,37.3,,14.7,,22.2,,13.8,,1002.0,1002.0
Universidad Alberto Hurtado,2026,,,,,,,105,7276.0,936,1041,8432,2765,9870,,,3398453000,455400000,2.0,26,59.3,,91.8,,7.9,,,,,,38.1,27.4,,9.6,,20.3,,44.6,,36.5,,22.0,=70,1501+,24.4,,16.0,16.0,37.7,37.7,21.8,16.6,38.4,24.1,17.0,15.8,,,
Universidad Andres Bello,2015,464.0,158.0,1721.23,309.73,90.7,4296.0,237,,2934,3171,43808,11997,47414,36.0,1251.0,5879852000,152000000,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,6162.0,6162.0
Universidad Andres Bello,2016,537.0,178.0,1891.09,343.95,102.59,4661.0,234,,2977,3211,43403,12777,46804,26.0,1183.0,5594454000,149994000,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0,5689.0,5689.0
Universidad Andres Bello,2017,593.0,183.0,2038.07,414.32,118.68,4484.0,204,,3621,3825,43315,11874,47452,34.0,1209.0,6102981000,26000000,,57,,,,,,,,,,,,,,,,,,,,,,,46–50,,,,35.1,,56.7,,32.7,,78.8,,31.0,,112.0,6333.0,6333.0
Universidad Andres Bello,2018,583.0,189.0,2154.91,410.34,118.84,4501.0,211,44906.0,4133,4344,43455,13206,48481,36.0,1800.0,7614949000,413575000,1.0,68,,,,,,,,,,,,,,,,,,,,,,26.1,71–80,801–1000,,,36.0,31.9,66.6,45.0,27.3,6.7,82.3,26.0,28.6,14.3,183.0,7582.0,7582.0
Universidad Andres Bello,2019,630.0,196.0,2323.05,446.27,118.77,4594.0,179,44436.0,4655,4834,45041,13187,50015,37.0,1824.0,4683919000,358887000,1.0,34,,,,,,,,,,,,,,,,,,,,,,23.5,81–90,1001+,,,37.1,34.2,63.1,48.5,38.1,7.4,74.9,27.8,21.6,11.8,134.0,6808.0,6808.0
Universidad Andres Bello,2020,669.0,203.0,2214.93,470.68,125.23,4592.0,208,44327.0,4453,4661,44461,12612,49360,33.0,2260.0,7198588000,185430000,1.0,64,,,,,,,,,,,,,,,,,,,,,,21.8,93,1001+,38.1,,35.8,34.6,63.3,47.3,32.4,8.0,68.7,29.8,21.4,13.3,41.0,5100.0,5100.0
Universidad Andres Bello,2021,749.0,226.0,2373.35,520.36,125.87,4851.0,230,41098.0,6831,7061,49103,15051,56840,34.0,2919.0,6058374000,399098000,2.0,43,,,,,,,,,,,,,,,,,,,,,,19.1,101–125,1001+,,,37.6,33.5,66.2,47.7,18.3,8.4,70.7,30.3,25.0,14.2,128.0,7846.0,7846.0
Universidad Andres Bello,2022,808.0,245.0,2508.67,561.11,136.36,5019.0,233,42408.0,6333,6566,50243,11976,57645,26.0,3712.0,1166601000,60000000,2.0,6,,,,,,,,,,,,,,,,,,,,,,18.3,79,1201+,45.0,,39.4,35.0,74.4,48.1,33.2,8.9,76.3,33.1,33.1,14.9,177.0,9142.0,9142.0
Universidad Andres Bello,2023,868.0,257.0,2649.68,601.64,142.66,5112.0,273,46325.0,5750,6023,52395,13549,59075,36.0,4525.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,19.5,68,1201–1500,47.3,,44.6,37.8,65.7,50.4,38.1,9.4,73.6,29.8,37.7,14.3,147.0,8487.0,8487.0
Universidad Andres Bello,2024,914.0,291.0,2798.11,645.32,163.55,5396.0,301,46249.0,5776,6077,55131,16150,64227,40.0,4000.0,,,2.0,,20.1,7.0,27.4,2.5,65.9,,8.5,1.5,,,48.7,28.6,6.2,19.9,7.5,94.0,11.0,43.6,11.0,47.8,9.6,18.4,=73,1501+,41.7,,24.6,20.7,51.8,50.6,36.8,10.4,56.9,33.5,37.5,15.1,125.0,8801.0,8801.0
Universidad Andres Bello,2025,965.0,299.0,2915.8,669.7,167.16,5512.0,333,47619.0,6288,6621,59286,20849,72385,43.0,3733.0,0,,3.0,1,,7.1,38.0,2.3,67.4,,2.1,1.9,44.6,,56.2,,6.9,23.4,51.2,94.2,12.3,58.7,7.4,54.1,4.0,18.0,,1501+,,,,24.6,,51.4,,10.7,,34.7,,15.3,141.0,8969.0,8969.0
Universidad Andres Bello,2026,,,,,,,362,49719.0,6994,7356,64312,22945,79553,,,,,3.0,,14.4,9.6,36.1,3.9,63.4,8.2,2.5,3.8,,,58.9,46.4,11.1,25.6,60.9,98.2,19.5,63.2,16.4,62.0,56.9,17.8,=73,1501+,24.3,,22.4,22.4,52.5,52.5,12.5,10.8,43.9,37.6,18.6,15.7,,,
Universidad Andres Bello,2027,,,,,,,,,,,,,,,,,,,,,8.8,,3.6,,,3.2,3.5,,,,,11.3,,59.0,,22.2,,12.4,,56.7,,,,,,,,,,,,,,,,,,
Universidad Arturo Prat,2015,66.0,11.0,378.36,56.45,6.7,864.0,6,,667,673,13329,2966,14026,,70.0,483209000,137783000,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865.0,2603.0
Universidad Arturo Prat,2016,72.0,12.0,443.14,64.34,8.55,916.0,,,725,725,13144,3000,13907,,115.0,428842000,149950000,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.0,2404.0
Universidad Arturo Prat,2017,81.0,13.0,459.57,72.3,8.25,911.0,,,649,649,12542,2878,13251,,333.0,747328000,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1044.0,2943.0
Universidad Arturo Prat,2018,87.0,11.0,490.57,81.2,6.39,917.0,,,646,646,13265,2898,13911,,357.0,1277693000,201600000,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198.0,3393.0
Universidad Arturo Prat,2019,93.0,13.0,496.2,86.48,7.0,925.0,,,1043,1043,12942,2984,14016,,255.0,808671000,173997000,,8,,,,,,,,,,,,,,,,,,,,,,,101+,,,,36.9,,63.1,,10.8,,23.7,,14.3,,,946.0,2907.0
Universidad Arturo Prat,2020,107.0,20.0,450.86,99.18,11.91,800.0,,,908,908,10987,2406,11895,,274.0,1291979000,199897000,,10,,,,,,,,,,,,,,,,,,,,,,,126+,,,,36.4,,60.7,,10.1,,23.5,,14.4,,,813.0,2534.0
Universidad Arturo Prat,2021,97.0,12.0,401.48,86.66,6.66,788.0,,,611,611,10921,1863,11532,5.0,513.0,1273837000,385050000,,9,,,,,,,,,,,,,,,,,,,,,,,151+,,,,37.4,,68.7,,15.3,,19.0,,14.9,,,1085.0,2859.0
Universidad Arturo Prat,2022,107.0,20.0,410.02,104.34,12.61,774.0,72,12963.0,52,124,10148,1715,10272,4.0,167.0,1633370000,,9.0,13,,,,,,,,,,,,,,,,,,,,,,22.1,151+,Reporter,,,37.7,,69.1,,19.6,,25.5,,17.0,,,934.0,2245.0
Universidad Arturo Prat,2023,94.0,18.0,398.73,89.07,12.41,748.0,3,,39,42,9952,2068,10021,34.0,102.0,1276697000,,,7,,,,,,,,,,,,,,,,,,,,,,,151+,,,,37.4,,70.3,,19.4,,39.2,,14.1,,,980.0,2318.0
Universidad Arturo Prat,2024,115.0,25.0,369.57,95.34,15.07,775.0,12,11532.0,22,34,9514,2144,9548,18.0,83.0,1485021440,143848440,7.0,16,19.3,,21.1,,6.6,,,,,,,8.7,,9.3,,55.8,,7.9,,14.0,,22.9,151+,Reporter,,,18.0,,48.4,,20.6,,20.9,,21.0,,,757.0,2049.0
Universidad Arturo Prat,2025,116.0,27.0,372.0,95.09,16.23,756.0,16,10275.0,24,40,9779,2340,9819,2.0,75.0,2684515000,,6.0,14,,,33.6,,28.9,,,,16.1,,,,,13.2,,61.6,,9.2,,13.8,,19.4,,Reporter,,,,,,,,,,,,,,743.0,1776.0
