fuente,universidad,anio_dato,ventana,variable,valor,unidad,definicion,url,fecha_descarga,metodo
the,Universidad Austral de Chile,2016,,ratio_estudiantes_academico,17.8,estudiantes por académico,"Estudiantes FTE por académico FTE, definición THE (Chile)",https://www.timeshighereducation.com/json/ranking_tables/world_university_rankings/2016/key_statistics,2026-09-25T04:10:22+00:00,requests
the,Universidad Austral de Chile,2016,,pct_estudiantes_extranjeros,1.0,%,"Porcentaje de estudiantes internacionales, definición THE (Chile)",https://www.timeshighereducation.com/json/ranking_tables/world_university_rankings/2016/key_statistics,2026-09-25T04:10:22+00:00,requests
the,Universidad Austral de Chile,2016,,the_puntaje_global_wur,0.0,puntaje 0-100,"Puntaje publicado por THE (wur, Chile)",https://www.timeshighereducation.com/json/ranking_tables/world_university_rankings/2016/key_statistics,2026-09-25T04:10:22+00:00,requests
the,Universidad Austral de Chile,2016,,the_puntaje_teaching_wur,16.7,puntaje 0-100,"Puntaje publicado por THE (wur, Chile)",https://www.timeshighereducation.com/json/ranking_tables/world_university_rankings/2016/key_statistics,2026-09-25T04:10:22+00:00,requests
the,Universidad Austral de Chile,2016,,the_puntaje_research_environment_wur,9.7,puntaje 0-100,"Puntaje publicado por THE (wur, Chile)",https://www.timeshighereducation.com/json/ranking_tables/world_university_rankings/2016/key_statistics,2026-09-25T04:10:22+00:00,requests
the,Universidad Austral de Chile,2016,,the_puntaje_research_quality_wur,14.2,puntaje 0-100,"Puntaje publicado por THE (wur, Chile)",https://www.timeshighereducation.com/json/ranking_tables/world_university_rankings/2016/key_statistics,2026-09-25T04:10:22+00:00,requests
the,Universidad Austral de Chile,2016,,the_puntaje_industry_wur,41.1,puntaje 0-100,"Puntaje publicado por THE (wur, Chile)",https://www.timeshighereducation.com/json/ranking_tables/world_university_rankings/2016/key_statistics,2026-09-25T04:10:22+00:00,requests
the,Universidad Austral de Chile,2016,,the_puntaje_international_outlook_wur,45.2,puntaje 0-100,"Puntaje publicado por THE (wur, Chile)",https://www.timeshighereducation.com/json/ranking_tables/world_university_rankings/2016/key_statistics,2026-09-25T04:10:22+00:00,requests
the,Universidad Austral de Chile,2016,,the_posicion_wur,601-800,posición,Posición publicada por THE (Chile),https://www.timeshighereducation.com/json/ranking_tables/world_university_rankings/2016/key_statistics,2026-09-25T04:10:22+00:00,requests
the,Pontificia Universidad Catolica de Valparaiso,2016,,estudiantes_fte,13493.0,estudiantes,Número de estudiantes equivalentes a jornada completa (FTE) declarado a THE (Chile),https://www.timeshighereducation.com/json/ranking_tables/world_university_rankings/2016/key_statistics,2026-09-25T04:10:22+00:00,requests
the,Pontificia Universidad Catolica de Valparaiso,2016,,ratio_estudiantes_academico,10.4,estudiantes por académico,"Estudiantes FTE por académico FTE, definición THE (Chile)",https://www.timeshighereducation.com/json/ranking_tables/world_university_rankings/2016/key_statistics,2026-09-25T04:10:22+00:00,requests
the,Pontificia Universidad Catolica de Valparaiso,2016,,pct_estudiantes_extranjeros,0.0,%,"Porcentaje de estudiantes internacionales, definición THE (Chile)",https://www.timeshighereducation.com/json/ranking_tables/world_university_rankings/2016/key_statistics,2026-09-25T04:10:22+00:00,requests
the,Pontificia Universidad Catolica de Valparaiso,2016,,the_puntaje_global_wur,0.0,puntaje 0-100,"Puntaje publicado por THE (wur, Chile)",https://www.timeshighereducation.com/json/ranking_tables/world_university_rankings/2016/key_statistics,2026-09-25T04:10:22+00:00,requests
the,Pontificia Universidad Catolica de Valparaiso,2016,,the_puntaje_teaching_wur,18.4,puntaje 0-100,"Puntaje publicado por THE (wur, Chile)",https://www.timeshighereducation.com/json/ranking_tables/world_university_rankings/2016/key_statistics,2026-09-25T04:10:22+00:00,requests
the,Pontificia Universidad Catolica de Valparaiso,2016,,the_puntaje_research_environment_wur,8.0,puntaje 0-100,"Puntaje publicado por THE (wur, Chile)",https://www.timeshighereducation.com/json/ranking_tables/world_university_rankings/2016/key_statistics,2026-09-25T04:10:22+00:00,requests
the,Pontificia Universidad Catolica de Valparaiso,2016,,the_puntaje_research_quality_wur,10.4,puntaje 0-100,"Puntaje publicado por THE (wur, Chile)",https://www.timeshighereducation.com/json/ranking_tables/world_university_rankings/2016/key_statistics,2026-09-25T04:10:22+00:00,requests
the,Pontificia Universidad Catolica de Valparaiso,2016,,the_puntaje_industry_wur,44.3,puntaje 0-100,"Puntaje publicado por THE (wur, Chile)",https://www.timeshighereducation.com/json/ranking_tables/world_university_rankings/2016/key_statistics,2026-09-25T04:10:22+00:00,requests
the,Pontificia Universidad Catolica de Valparaiso,2016,,the_puntaje_international_outlook_wur,35.7,puntaje 0-100,"Puntaje publicado por THE (wur, Chile)",https://www.timeshighereducation.com/json/ranking_tables/world_university_rankings/2016/key_statistics,2026-09-25T04:10:22+00:00,requests
the,Pontificia Universidad Catolica de Valparaiso,2016,,the_posicion_wur,601-800,posición,Posición publicada por THE (Chile),https://www.timeshighereducation.com/json/ranking_tables/world_university_rankings/2016/key_statistics,2026-09-25T04:10:22+00:00,requests
the,Universidad Tecnica Federico Santa Maria,2017,,estudiantes_fte,18424.0,estudiantes,Número de estudiantes equivalentes a jornada completa (FTE) declarado a THE (Chile),https://www.timeshighereducation.com/json/ranking_tables/world_university_rankings/2017,2026-09-25T04:10:22+00:00,requests
the,Universidad Tecnica Federico Santa Maria,2017,,ratio_estudiantes_academico,28.3,estudiantes por académico,"Estudiantes FTE por académico FTE, definición THE (Chile)",https://www.timeshighereducation.com/json/ranking_tables/world_university_rankings/2017,2026-09-25T04:10:22+00:00,requests
