Ranking,Institucion,Puntuacion_Total,excel_lider,normalized_impact,normalized_impact_leadership,output,stp,lider,colab,q1,excel,ik,tech_impact,patents,open_access,not_own_journals_output,own_journals,overton,sdg,female_stp,AM
39,Universidad Metropolitana de Ciencias de la Educacion,2.7247087837330124,7,0.65242,0.37265,567,306,256,274,142,35,0,0.0,0,72.31040564373897,567,0,3,133,117,201.3
40,Universidad Catolica Cardenal Raul Silva Henriquez,2.0929507161964374,9,0.58086,0.50765,422,259,196,176,86,23,0,0.0,0,82.22748815165875,420,1,7,128,97,149.9
41,Universidad de Vina del Mar,1.6823212506841898,4,0.56602,0.36974,349,182,136,179,94,15,0,0.0,0,83.95415472779369,349,0,3,78,76,141.3
42,Universidad Adventista de Chile,1.4724493919414283,10,0.97918,0.89421,287,195,103,154,98,31,0,0.0,0,75.95818815331009,287,0,3,84,83,110.2
43,Universidad Academia de Humanismo Cristiano,1.1788400289546344,4,0.47746,0.37079,220,148,135,59,69,12,0,0.0,0,74.54545454545455,220,0,3,84,61,80.5
44,Universidad Tecnologica de Chile,0.8629859301280798,3,0.6177,0.48728,168,133,64,66,45,8,3,1.89,0,61.30952380952381,168,0,1,47,47,66.4
45,Universidad Internacional SEK Chile,0.62189084166067,0,0.65648,0.32812,126,57,23,70,45,7,1,0.81,0,73.01587301587301,126,0,7,38,24,59.6
46,Universidad Gabriela Mistral,0.3451765491700985,1,0.53842,0.48117,59,39,30,25,9,3,2,4.55,0,81.35593220338983,59,0,0,15,14,26.7
47,Universidad Pedro de Valdivia,0.3085431275350374,1,0.61312,0.37342,54,54,20,25,15,3,0,0.0,0,64.81481481481481,54,0,0,15,18,27.6
48,Universidad Miguel de Cervantes,0.1576854902673575,1,0.27712,0.60997,26,23,8,10,0,1,0,0.0,0,84.61538461538461,26,0,0,5,7,7.899999999999999
49,"Universidad de Artes, Ciencias y Comunicacion",0.0993519310970705,0,0.36376,0.13665,13,11,7,8,2,1,0,0.0,0,69.23076923076923,13,0,0,4,4,5.0
50,Universidad Bolivariana de Chile,0.0849734115079983,0,0.26313,0.34762,8,11,3,5,2,0,0,0.0,0,87.5,8,0,0,3,6,1.5
51,"Universidad del Mar, Chile",0.0796997953162839,0,1.51233,0.0,9,5,0,7,1,2,0,0.0,0,77.77777777777777,9,0,0,3,2,2.9
52,Universidad ARCIS,0.0715616304118683,0,0.34114,0.0,6,6,4,4,3,0,0,0.0,0,83.33333333333333,6,0,0,2,1,1.7999999999999998
53,Universidad La Republica,0.0618707652131584,0,0.08226,0.0974,6,10,3,1,1,0,0,0.0,0,66.66666666666666,6,0,0,2,3,1.5
54,Universidad Iberoamericana de Ciencias y Tecnologia,0.0553947082015325,0,0.17758,0.0,2,2,0,1,0,0,0,0.0,0,100.0,2,0,0,1,0,0.6
55,Universidad Los Leones,0.050823150834114,0,0.0,0.0,1,1,1,0,0,0,0,0.0,0,100.0,1,0,0,0,0,0.3
56,"Universidad del Pacifico, Chile",0.0353106355534511,0,0.02412,0.02412,2,8,2,2,0,0,0,0.0,0,50.0,2,0,0,0,1,0.6
57,Universidad Ucinf,0.0,0,0.04393,0.0,1,1,0,1,0,0,0,0.0,0,0.0,1,0,0,0,0,0.3
