"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Ottosen L.M.; Pedersen A.J.; Hansen H.K.; Ribeiro A.B.","Ottosen, Lisbeth M. (7003887668); Pedersen, Anne J. (7202802059); Hansen, Henrik K. (7403333704); Ribeiro, Alexandra B. (57230861100)","7003887668; 7202802059; 7403333704; 57230861100","Screening the possibility for removing cadmium and other heavy metals from wastewater sludge and bio-ashes by an electrodialytic method","2007","Electrochimica Acta","52","10 SPEC. ISS.","","3420","3426","44","10.1016/j.electacta.2006.06.048","https://www.scopus.com/pages/publications/33846871720?origin=resultslist","Article","Final","","Scopus","2-s2.0-33846871720"
"Yianatos J.B.; Bergh L.G.; Díaz F.; Rodríguez J.","Yianatos, Juan B. (7004328398); Bergh, Luis G. (6701774149); Díaz, Francisco (57205852825); Rodríguez, Jorge (56282278500)","7004328398; 6701774149; 57205852825; 56282278500","Mixing characteristics of industrial flotation equipment","2005","Chemical Engineering Science","60","8-9 SPEC. ISS.","","2273","2282","63","10.1016/j.ces.2004.10.039","https://www.scopus.com/pages/publications/14544292480?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-14544292480"
"Barraza R.; Nellis G.; Klein S.; Reindl D.","Barraza, Rodrigo (56979154900); Nellis, Gregory (9942651400); Klein, Sanford (57191386256); Reindl, Douglas (7004869902)","56979154900; 9942651400; 57191386256; 7004869902","Measured and predicted heat transfer coefficients for boiling zeotropic mixed refrigerants in horizontal tubes","2016","International Journal of Heat and Mass Transfer","97","","","683","695","18","10.1016/j.ijheatmasstransfer.2016.02.030","https://www.scopus.com/pages/publications/84959530241?origin=resultslist","Article","Final","","Scopus","2-s2.0-84959530241"
"Segura R.A.; Hevia S.; Häberle P.","Segura, Rodrigo A. (15027635700); Hevia, Samuel (23974562300); Häberle, Patricio (6602338067)","15027635700; 23974562300; 6602338067","Growth of carbon nanostructures using a pd-based catalyst","2011","Journal of Nanoscience and Nanotechnology","11","11","","10036","10046","10","10.1166/jnn.2011.4998","https://www.scopus.com/pages/publications/84857157137?origin=resultslist","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84857157137"
"Gutiérrez C.; Hansen H.K.; Núñez P.; Valdés E.","Gutiérrez, Claudia (35190237200); Hansen, Henrik K. (7403333704); Núñez, Patricio (22035372800); Valdés, Erika (57220357337)","35190237200; 7403333704; 22035372800; 57220357337","Electrochemical peroxidation using iron nanoparticles to remove arsenic from copper smelter wastewater","2015","Electrochimica Acta","181","","","228","232","28","10.1016/j.electacta.2015.01.070","https://www.scopus.com/pages/publications/84945139856?origin=resultslist","Article","Final","","Scopus","2-s2.0-84945139856"
"Sabolová R.; Sečkárová V.; Dušek J.; Stehlík M.","Sabolová, R. (37081787000); Sečkárová, V. (55790732500); Dušek, J. (57195133376); Stehlík, M. (36521554000)","37081787000; 55790732500; 57195133376; 36521554000","Entropy based statistical inference for methane emissions released from wetland","2015","Chemometrics and Intelligent Laboratory Systems","141","","","125","133","11","10.1016/j.chemolab.2014.12.008","https://www.scopus.com/pages/publications/84921535474?origin=resultslist","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84921535474"
"Aguirre-Ode F.","Aguirre-Ode, Fernando (6602551539)","6602551539","Thermodynamics of associated solutions with volume effects","1983","Fluid Phase Equilibria","13","C","","321","329","2","10.1016/0378-3812(83)80103-4","https://www.scopus.com/pages/publications/0020834394?origin=resultslist","Article","Final","","Scopus","2-s2.0-0020834394"
"Chicardi E.; Córdoba J.M.; Gotor F.J.","Chicardi, E. (46461062300); Córdoba, J.M. (26538552800); Gotor, F.J. (7003412451)","46461062300; 26538552800; 7003412451","Kinetics of high-temperature oxidation of (Ti,Ta)(C,N)-based cermets","2016","Corrosion Science","102","","","168","177","51","10.1016/j.corsci.2015.10.006","https://www.scopus.com/pages/publications/84959112340?origin=resultslist","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84959112340"
"Mairet F.; Moisan M.; Bernard O.","Mairet, Francis (35792398100); Moisan, Marcelo (23570913800); Bernard, Olivier (8509748200)","35792398100; 23570913800; 8509748200","Estimation of neutral lipid and carbohydrate quotas in microalgae using adaptive interval observers","2014","Bioprocess and Biosystems Engineering","37","1","","51","61","17","10.1007/s00449-013-0913-7","https://www.scopus.com/pages/publications/84895828281?origin=resultslist","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84895828281"
"Dreyse P.; Honores J.; Quezada D.; Isaacs M.","Dreyse, Paulina (14035589500); Honores, Jessica (55328520100); Quezada, Diego (55328311500); Isaacs, Mauricio (7103363276)","14035589500; 55328520100; 55328311500; 7103363276","Electrocatalytic Transformation of Carbon Dioxide into Low Carbon Compounds on Conducting Polymers Derived from Multimetallic Porphyrins","2015","ChemSusChem","8","22","","3897","3904","17","10.1002/cssc.201500816","https://www.scopus.com/pages/publications/84948717345?origin=resultslist","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84948717345"
