year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook,rank_prefix
2022,1,Pontificia Universidad Católica de Chile,90.5,77.9,99.9,97.5,100.0,87.2,
2022,7,University of Chile,83.7,77.7,93.2,82.8,61.7,79.4,
2022,26,University of Concepción,65.9,50.6,72.7,75.9,92.3,73.3,
2022,28,Austral University of Chile,64.7,54.6,70.9,68.1,74.9,73.1,=
2022,34,"University of Santiago, Chile (USACH)",63.1,53.2,82.4,50.0,38.4,66.1,
2022,38,Pontifical Catholic University of Valparaíso,62.0,52.8,67.0,63.5,86.0,71.8,
2022,49,Federico Santa María Technical University,56.9,37.1,64.0,72.2,48.8,82.1,
2022,53,"University of the Andes, Chile",54.9,46.8,48.7,73.0,52.9,73.8,
2022,55,Diego Portales University,53.6,34.2,44.0,98.2,34.9,77.0,
2022,57,Universidad Autónoma de Chile,52.2,27.2,51.0,98.6,34.9,59.8,
2022,59,Adolfo Ibáñez University,51.7,33.4,59.1,59.2,41.2,89.3,
2022,60,University of La Frontera,51.1,37.8,49.0,74.3,35.8,67.5,
2022,61,Catholic University of the North,50.9,26.3,57.4,72.5,41.7,84.9,
2022,63,Universidad del Desarrollo,50.4,29.2,39.3,98.7,49.9,72.9,
2022,67,University of Talca,48.9,38.0,42.6,70.6,42.4,74.7,=
2022,73,University of Valparaíso,47.7,31.9,54.3,59.4,35.0,67.0,
2022,77,University of Tarapacá,45.6,27.3,46.2,67.0,36.0,76.7,
2022,79,Universidad Andrés Bello (UNAB),45.0,33.1,33.2,76.3,39.4,74.4,
2022,81,University of Los Lagos,44.6,34.7,38.1,67.9,34.9,62.6,
2022,84,University of Antofagasta,44.0,24.7,25.6,99.5,34.9,74.7,
2022,91,Universidad Católica de la Santísima Concepción,42.5,22.5,47.4,64.5,38.9,58.8,
2022,101–125,Universidad Mayor,34.2–39.9,23.1,14.3,78.3,34.9,60.3,
2022,101–125,University of La Serena,34.2–39.9,16.6,17.5,97.4,34.9,61.6,
2022,126–150,San Sebastián University,28.8–34.1,29.8,25.0,34.1,34.9,46.7,
2022,126–150,Temuco Catholic University,28.8–34.1,27.7,30.4,30.6,42.4,59.2,
2022,151+,Arturo Prat University,16.1–28.7,17.0,19.6,25.5,37.7,69.1,
2022,151+,Bernardo O’Higgins University,16.1–28.7,18.9,18.9,25.5,42.4,75.5,
2022,151+,University of Bío-Bío,16.1–28.7,23.6,23.2,31.5,35.2,62.3,
2022,151+,Finis Terrae University,16.1–28.7,22.9,11.0,49.5,35.0,59.6,
2022,151+,Universidad Santo Tomás,16.1–28.7,15.4,12.7,26.6,34.9,52.2,
