year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook,rank_prefix
2017,3,Pontificia Universidad Católica de Chile,85.7,74.7,94.0,95.0,44.7,89.5,
2017,4,University of Chile,81.1,73.5,86.3,92.5,34.9,78.8,
2017,13,University of Concepción,63.9,48.4,71.1,76.1,86.9,66.4,
2017,20,Pontifical Catholic University of Valparaíso,59.1,54.3,61.2,60.1,74.1,64.5,=
2017,22,Federico Santa María Technical University,58.6,34.0,56.5,99.7,54.7,77.3,
2017,23,Austral University of Chile,58.3,48.1,56.3,74.7,61.3,71.7,
2017,26–30,"University of Santiago, Chile (USACH)",53.1–54.9,51.8,61.7,47.8,36.3,47.2,
2017,31–35,Adolfo Ibáñez University,49.6–51.6,45.0,41.0,69.4,34.8,89.2,
2017,31–35,University of Valparaíso,49.6–51.6,40.7,47.7,72.5,35.7,63.8,
2017,31–35,University of La Frontera,49.6–51.6,40.3,43.7,79.2,35.9,50.6,
2017,31–35,University of Talca,49.6–51.6,39.7,53.6,56.8,20.9,68.9,
2017,36–40,Diego Portales University,46.7–49.5,24.7,43.1,98.0,35.0,72.8,
2017,36–40,Universidad del Desarrollo,46.7–49.5,34.8,33.6,89.2,38.2,56.1,
2017,41–45,"University of the Andes, Chile",44.7–46.5,34.9,54.6,45.3,35.1,65.4,
2017,41–45,Catholic University of the North,44.7–46.5,29.3,44.2,65.4,38.3,74.1,
2017,46–50,Universidad Andrés Bello (UNAB),43.1–44.0,31.0,32.7,78.8,35.1,56.7,
2017,61–70,Universidad Autónoma de Chile,30.9–38.3,36.3,22.7,39.7,34.8,65.4,
2017,71+,Temuco Catholic University,18.1–26.8,21.6,24.3,8.2,39.3,51.0,
