year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook,rank_prefix
2020,1,Pontificia Universidad Católica de Chile,89.7,78.6,99.9,90.1,100.0,91.6,
2020,8,University of Chile,82.0,80.1,91.4,73.8,52.1,79.8,
2020,23,Pontifical Catholic University of Valparaíso,67.0,62.5,81.9,48.6,78.6,65.7,
2020,27,"University of Santiago, Chile (USACH)",65.1,60.9,85.6,38.8,43.9,69.7,
2020,43,"University of the Andes, Chile",56.3,50.4,60.0,57.2,45.0,69.4,
2020,46,University of La Frontera,55.3,35.9,67.2,70.9,37.4,58.2,
2020,47,University of Concepción,55.0,43.6,58.6,59.3,93.1,68.8,=
2020,49,Austral University of Chile,54.9,45.7,57.5,57.4,73.9,74.2,
2020,54,University of Valparaíso,51.9,49.4,52.9,50.1,36.0,69.5,
2020,59,Diego Portales University,48.8,19.9,45.5,100.0,35.5,70.9,
2020,60,Adolfo Ibáñez University,47.6,35.9,41.1,65.7,42.3,87.5,
2020,61,Universidad Autónoma de Chile,47.5,22.4,41.1,99.0,35.5,64.0,
2020,63,Federico Santa María Technical University,46.7,23.3,44.2,74.3,68.7,89.2,
2020,71,Universidad del Desarrollo,43.6,24.6,24.7,100.0,43.7,69.5,
2020,82,University of Talca,39.7,23.9,34.3,64.1,50.4,70.7,=
2020,85,Catholic University of the North,39.5,16.5,42.6,60.7,38.6,79.6,
2020,86,University of Antofagasta,39.4,22.5,19.1,95.1,35.5,65.2,
2020,93,Universidad Andrés Bello (UNAB),38.1,21.4,32.4,68.7,35.8,63.3,
2020,98,Universidad Católica de la Santísima Concepción,36.8,18.6,35.3,66.5,36.4,52.5,
2020,100,University of Tarapacá,36.6,21.2,40.3,43.8,41.8,72.3,=
2020,101–125,University of Bío-Bío,30.0–36.0,27.6,37.6,22.8,48.1,60.0,
2020,101–125,University of Los Lagos,30.0–36.0,24.4,28.4,58.5,35.5,53.5,
2020,101–125,University of La Serena,30.0–36.0,12.8,18.0,91.3,35.5,52.2,
2020,126+,Arturo Prat University,15.1–29.3,14.4,10.1,23.5,36.4,60.7,
2020,126+,Bernardo O’Higgins University,15.1–29.3,14.2,16.3,26.3,36.6,52.4,
2020,126+,Finis Terrae University,15.1–29.3,21.6,11.0,26.8,35.6,49.9,
2020,126+,Universidad Mayor,15.1–29.3,21.9,10.3,53.5,35.5,59.5,
2020,126+,Playa Ancha University,15.1–29.3,21.8,23.6,20.7,35.5,40.0,
2020,126+,San Sebastián University,15.1–29.3,24.4,25.0,25.6,35.5,46.5,
2020,126+,Temuco Catholic University,15.1–29.3,18.7,20.4,24.3,42.4,57.1,
