year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook,rank_prefix
2023,1,Pontificia Universidad Católica de Chile,90.3,79.0,99.8,95.5,99.4,84.2,
2023,9,University of Chile,81.6,76.8,90.4,79.3,57.2,79.1,
2023,22,University of Concepción,66.8,48.4,76.3,79.3,87.2,71.6,
2023,38,"University of Santiago, Chile (USACH)",61.2,47.8,81.2,54.1,36.9,61.9,
2023,41,"University of the Andes, Chile",59.4,50.8,62.1,68.4,38.8,71.4,
2023,43,Pontifical Catholic University of Valparaíso,59.0,46.5,69.3,56.8,82.3,69.9,
2023,45,Austral University of Chile,58.5,48.8,63.3,62.6,73.6,67.9,=
2023,52,Universidad Autónoma de Chile,54.2,30.6,50.9,97.9,36.1,71.2,=
2023,52,University of Tarapacá,54.2,34.5,49.2,87.1,45.3,86.9,=
2023,55,Adolfo Ibáñez University,53.3,34.9,56.1,69.3,40.5,90.0,
2023,58,Diego Portales University,51.8,34.0,41.0,95.5,36.1,75.1,
2023,59,University of La Frontera,51.6,39.1,48.2,76.5,36.4,66.0,
2023,62,Federico Santa María Technical University,50.7,30.4,56.2,66.9,48.1,81.3,
2023,64,Universidad del Desarrollo,49.5,28.7,38.1,97.9,47.3,73.1,
2023,67,Catholic University of the North,47.5,26.5,52.8,63.1,42.5,84.0,
2023,68,Universidad Andrés Bello (UNAB),47.3,37.7,38.1,73.6,44.6,65.7,
2023,73,University of Magallanes,46.3,36.1,25.9,87.3,46.8,78.2,
2023,76,University of Talca,44.9,31.9,41.4,66.1,36.1,69.0,
2023,77,University of Valparaíso,44.5,32.8,48.8,51.6,36.2,64.0,
2023,87,University of Antofagasta,42.7,27.2,20.5,98.6,36.1,71.1,
2023,90,Universidad Católica de la Santísima Concepción,41.8,25.4,45.5,58.8,38.8,59.5,=
2023,93,University of La Serena,41.4,22.1,26.0,95.3,36.1,61.9,=
2023,95,University of Los Lagos,40.9,32.7,36.8,55.4,36.1,61.3,
2023,101–125,University of Bío-Bío,34.0–39.9,27.3,44.3,27.6,44.5,61.7,
2023,101–125,Universidad Católica del Maule,34.0–39.9,26.0,36.3,36.7,36.1,81.6,
2023,101–125,Finis Terrae University,34.0–39.9,20.1,11.8,93.5,36.2,60.7,
2023,101–125,Universidad Mayor,34.0–39.9,22.3,16.3,80.3,36.8,59.4,
2023,151+,Arturo Prat University,16.1–29.3,14.1,19.4,39.2,37.4,70.3,
2023,151+,Bernardo O’Higgins University,16.1–29.3,20.6,20.7,35.2,52.4,84.2,
2023,151+,San Sebastián University,16.1–29.3,21.5,19.7,35.2,36.1,49.6,
2023,151+,Universidad Santo Tomás,16.1–29.3,13.6,13.6,43.2,36.1,51.9,
2023,151+,Temuco Catholic University,16.1–29.3,26.5,21.7,26.9,41.6,59.3,
