year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook,rank_prefix
2021,1,Pontificia Universidad Católica de Chile,90.3,77.4,99.8,95.3,99.4,93.1,
2021,6,University of Chile,82.1,78.5,91.8,76.7,53.3,79.3,
2021,24,Pontifical Catholic University of Valparaíso,65.8,52.3,85.9,55.1,63.6,69.0,
2021,30,"University of Santiago, Chile (USACH)",62.7,56.9,82.1,39.8,44.0,69.3,
2021,36,Austral University of Chile,58.8,46.0,66.1,62.1,68.6,75.6,=
2021,49,Federico Santa María Technical University,54.3,33.7,59.9,68.5,56.1,89.2,
2021,50,"University of the Andes, Chile",54.0,43.5,50.8,72.7,41.2,73.7,
2021,53,Universidad Autónoma de Chile,52.4,25.4,51.0,100.0,36.9,67.2,
2021,55,University of Concepción,51.6,37.9,51.1,64.4,88.8,72.6,
2021,56,Diego Portales University,51.4,30.7,41.1,99.4,36.9,74.3,=
2021,58,University of La Frontera,50.9,31.3,58.3,69.7,37.0,66.6,
2021,61,University of Valparaíso,47.9,35.9,52.8,53.4,37.5,71.7,
2021,65,Adolfo Ibáñez University,46.8,31.6,44.0,63.7,42.3,89.3,
2021,67,Universidad del Desarrollo,46.5,30.5,25.8,99.6,46.4,75.1,
2021,68,University of Talca,46.2,28.7,47.8,64.8,40.4,75.2,
2021,83,Universidad Católica de la Santísima Concepción,42.1,19.2,50.1,64.1,37.6,59.1,
2021,96,Catholic University of the North,38.7,17.1,37.9,63.0,37.4,81.7,
2021,97,University of Los Lagos,38.6,30.6,28.8,63.6,36.9,55.9,
2021,99,University of La Serena,38.0,20.7,19.0,94.4,36.9,57.1,
2021,101–125,Universidad Andrés Bello (UNAB),31.0–37.1,25.0,18.3,70.7,37.6,66.2,
2021,101–125,Universidad Mayor,31.0–37.1,22.1,11.6,73.3,37.1,60.4,
2021,101–125,University of Tarapacá,31.0–37.1,22.6,35.4,52.0,37.3,74.1,
2021,101–125,Temuco Catholic University,31.0–37.1,20.1,42.0,23.3,42.7,59.7,
2021,126–150,University of Bío-Bío,24.9–30.3,24.3,23.4,33.5,36.9,64.6,
2021,126–150,San Sebastián University,24.9–30.3,24.1,21.2,30.1,36.9,47.4,
2021,151+,Arturo Prat University,14.6–24.7,14.9,15.3,19.0,37.4,68.7,
2021,151+,Bernardo O’Higgins University,14.6–24.7,17.3,19.6,25.8,38.9,57.7,
2021,151+,Finis Terrae University,14.6–24.7,22.0,10.9,25.5,37.0,55.7,
