year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
2019,1,Pontificia Universidad Católica de Chile,88.6,76.0,99.8,89.7,98.9,92.3
2019,7,University of Chile,83.0,78.4,92.1,82.4,36.9,80.6
2019,23,Pontifical Catholic University of Valparaíso,67.6,63.5,81.1,50.3,84.8,66.4
2019,24,"University of Santiago, Chile (USACH)",67.5,63.8,87.3,44.6,49.5,62.6
2019,42,University of La Frontera,58.5,44.4,60.4,81.6,36.7,62.9
2019,43,University of Valparaíso,56.8,53.9,57.0,57.8,36.8,73.1
2019,45,University of Concepción,55.5,44.4,58.7,60.5,94.4,67.9
2019,47,"University of the Andes, Chile",54.6,48.3,53.3,63.2,37.2,74.0
2019,51–60,Adolfo Ibáñez University,49.1–53.0,36.7,44.1,82.9,38.9,88.8
2019,51–60,Austral University of Chile,49.1–53.0,43.3,35.9,68.9,77.5,73.9
2019,51–60,Diego Portales University,49.1–53.0,20.1,46.9,99.9,36.5,72.9
2019,51–60,Federico Santa María Technical University,49.1–53.0,34.1,37.4,92.7,72.2,87.6
2019,61–70,Catholic University of the North,45.7–48.5,22.2,58.1,55.7,40.8,78.0
2019,71–80,Universidad Autónoma de Chile,41.8–45.6,23.1,31.4,98.5,36.5,66.0
2019,71–80,University of Talca,41.8–45.6,28.3,36.2,70.9,71.6,69.0
2019,81–90,Universidad Andrés Bello (UNAB),36.4–41.4,21.6,38.1,74.9,37.1,63.1
2019,81–90,University of Antofagasta,36.4–41.4,25.0,26.4,78.4,36.5,57.8
2019,81–90,Universidad del Desarrollo,36.4–41.4,20.0,21.9,100.0,45.1,72.4
2019,81–90,University of Los Lagos,36.4–41.4,24.2,45.3,39.9,36.5,45.7
2019,91–100,University of Bío-Bío,34.1–35.9,36.3,36.0,24.5,46.8,60.0
2019,101+,Arturo Prat University,15.1–33.4,14.3,10.8,23.7,36.9,63.1
2019,101+,University of Atacama,15.1–33.4,13.4,10.7,27.8,36.5,62.5
2019,101+,Bernardo O’Higgins University,15.1–33.4,14.0,13.7,13.5,36.8,52.9
2019,101+,Universidad Católica de la Santísima Concepción,15.1–33.4,18.4,32.4,40.0,36.6,50.4
2019,101+,Finis Terrae University,15.1–33.4,21.6,11.0,32.3,36.7,51.7
2019,101+,Universidad Mayor,15.1–33.4,21.7,9.7,29.0,36.9,53.5
2019,101+,San Sebastián University,15.1–33.4,23.5,28.2,22.4,36.5,46.1
2019,101+,University of La Serena,15.1–33.4,14.4,15.3,77.6,36.6,46.4
2019,101+,University of Tarapacá,15.1–33.4,19.0,35.4,41.3,36.5,68.1
2019,101+,Temuco Catholic University,15.1–33.4,19.6,29.9,17.4,42.5,53.9
