year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
2018,3,Pontificia Universidad Católica de Chile,85.7,71.6,96.0,95.0,54.9,91.8
2018,6,University of Chile,81.5,70.7,91.3,90.4,35.4,80.3
2018,17,University of Concepción,69.9,57.2,79.8,73.7,94.9,67.6
2018,23,"University of Santiago, Chile (USACH)",64.8,61.4,77.0,53.6,35.9,65.2
2018,24,Federico Santa María Technical University,64.7,42.2,62.5,99.5,73.4,86.2
2018,27,Pontifical Catholic University of Valparaíso,63.5,61.5,67.8,56.8,80.7,66.4
2018,28,Austral University of Chile,63.2,53.7,59.1,80.2,80.2,75.8
2018,46,University of Valparaíso,55.7,45.4,56.4,71.6,36.3,66.3
2018,50,"University of the Andes, Chile",53.9,33.4,64.0,67.4,35.9,76.1
2018,51–60,Adolfo Ibáñez University,49.4–53.4,36.9,34.9,83.5,38.2,88.6
2018,51–60,Diego Portales University,49.4–53.4,24.7,44.1,99.9,35.3,71.9
2018,51–60,University of Talca,49.4–53.4,39.3,54.5,74.3,26.7,69.4
2018,61–70,Universidad del Desarrollo,45.4–48.9,28.2,30.4,98.0,40.9,59.2
2018,61–70,University of La Frontera,45.4–48.9,30.9,54.1,67.2,35.3,58.1
2018,71–80,Universidad Andrés Bello (UNAB),41.9–45.2,28.6,27.3,82.3,36.0,66.6
2018,81–90,Universidad Autónoma de Chile,38.8–41.8,39.5,28.6,56.2,35.3,58.7
2018,81–90,Catholic University of the North,38.8–41.8,30.4,35.3,54.8,37.1,75.1
2018,91–100,University of Magallanes,30.9–38.0,25.4,17.3,72.4,35.3,67.2
2018,91–100,Playa Ancha University,30.9–38.0,27.6,26.3,58.4,9.5,37.0
2018,91–100,University of La Serena,30.9–38.0,18.9,15.8,78.7,35.3,40.1
2018,91–100,University of Tarapacá,30.9–38.0,15.5,50.0,44.1,9.5,62.9
2018,101+,University of Antofagasta,12.9–30.7,23.0,4.7,70.2,0.0,58.3
2018,101+,University of Bío-Bío,12.9–30.7,28.9,13.5,38.6,45.0,55.4
2018,101+,Universidad Católica de la Santísima Concepción,12.9–30.7,23.3,21.0,53.2,35.4,46.2
2018,101+,Universidad Mayor,12.9–30.7,35.8,22.0,22.4,35.4,52.6
2018,101+,Temuco Catholic University,12.9–30.7,19.4,24.5,11.0,41.2,48.4
