year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook,rank_prefix
2026,3,Pontificia Universidad Católica de Chile,50.0,38.0,43.6,72.6,80.2,58.1,
2026,13,University of Chile,38.4,33.6,25.0,61.6,56.5,49.3,
2026,18,University of Tarapacá,34.0,16.4,31.4,62.2,21.7,58.7,
2026,23,Adolfo Ibáñez University,30.8,19.5,22.0,55.1,22.7,62.5,
2026,24,Pontifical Catholic University of Valparaíso,29.6,21.4,21.7,48.1,33.8,51.3,=
2026,29,"University of the Andes, Chile",28.8,29.6,19.7,36.4,22.4,48.1,
2026,32,University of Concepción,28.3,22.2,19.7,40.9,47.7,50.8,=
2026,36,University of La Frontera,27.8,22.6,24.9,34.0,24.1,50.2,
2026,39,"University of Santiago, Chile (USACH)",27.0,20.9,19.2,42.3,30.1,47.5,=
2026,41,Austral University of Chile,26.8,19.0,19.9,39.6,41.8,52.4,
2026,44,Federico Santa María Technical University,26.5,19.4,15.0,45.2,40.7,53.8,=
2026,47,University of Talca,26.4,22.2,16.5,38.4,37.6,52.0,
2026,53,Catholic University of the North,25.8,17.6,18.2,41.0,19.9,61.0,
2026,55,Diego Portales University,25.5,18.7,14.5,46.3,19.2,54.1,=
2026,57,Universidad Católica del Maule,25.3,18.5,20.3,36.2,17.8,54.6,=
2026,67,Universidad del Desarrollo,24.6,19.9,14.4,39.0,28.0,51.0,=
2026,70,Alberto Hurtado University,24.4,17.0,21.8,38.4,16.0,37.7,=
2026,73,Universidad Andrés Bello (UNAB),24.3,18.6,12.5,43.9,22.4,52.5,=
2026,75,Universidad Católica de la Santísima Concepción,23.9,13.4,23.5,34.2,17.6,50.3,=
2026,78,Universidad Autónoma de Chile,23.3,16.7,15.3,36.5,20.7,55.5,=
2026,81,University of La Serena,23.2,18.3,11.9,41.4,17.3,50.3,
2026,83,University of Los Lagos,22.8,19.0,18.3,28.5,16.6,48.5,=
2026,87,University of Valparaíso,22.6,20.3,15.9,29.4,20.6,46.7,
2026,94,University of Antofagasta,21.6,23.9,11.1,23.3,18.1,55.0,
2026,101–125,Arturo Prat University,18.1–20.6,16.1,13.9,16.9,23.6,47.0,
2026,101–125,Finis Terrae University,18.1–20.6,22.7,10.6,18.2,16.2,47.9,
2026,101–125,Temuco Catholic University,18.1–20.6,22.7,13.0,20.9,18.8,45.1,
2026,101–125,Universidad Mayor,18.1–20.6,20.9,10.0,23.5,17.6,48.2,
2026,126–150,Bernardo O’Higgins University,17.3–18.0,16.8,12.2,14.6,22.6,48.6,
2026,126–150,Universidad Santo Tomás,17.3–18.0,16.2,12.1,19.0,16.6,45.6,
2026,126–150,University of Bío-Bío,17.3–18.0,19.1,7.0,23.7,18.7,46.8,
